Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Product (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Product (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U)
241,Groudon,,383,,1725,111,12,15,10,82.2,15.0,15.0,Dragon Tail,Fire Punch,,"2020-05-22 19:44","2020-05-22 19:44",5/22/2020,807.18kg,3.37m,0,0,0,1900,,,,,,,,,62.64%,1531,96.19%,29400,27,Groudon,,0
242,Heatmor,,631,♀,1343,126,15,11,13,86.7,20.0,20.0,Fire Spin,Power-Up Punch,,"2020-05-22 19:42","2020-05-22 19:42",5/22/2020,,,0,0,0,0,30.26%,2857,94.14%,11000,10,Heatmor,,0,97.26%,113,96.06%,225000,248,Heatmor,,0
243,Slakoth,,287,♀,196,62,8,2,11,46.7,8.0,8.0,,,,"2020-05-21 13:42","2020-05-21 13:42",5/21/2020,,,0,0,2,0,57.34%,1748,94.55%,9500,137,Slaking,,0,56.63%,1777,95.93%,43600,171,Slaking,,0
244,Taillow,,276,♀,541,86,10,14,5,64.4,27.0,27.0,,,,"2020-05-21 13:42","2020-05-21 13:42",5/21/2020,,,0,0,1,0,75.92%,987,96.18%,18000,66,Swellow,,0,81.29%,767,91.02%,178000,256,Swellow,,0
245,Taillow,,276,♂,598,93,4,14,5,51.1,33.0,33.0,,,,"2020-05-21 13:42","2020-05-21 13:42",5/21/2020,,,0,0,1,0,66.52%,1372,82.94%,116000,150,Taillow,,0,61.54%,1576,88.22%,116000,200,Swellow,,0
246,Beldum,,374,,672,92,7,6,13,57.8,27.0,27.0,,,,"2020-05-21 13:42","2020-05-21 13:42",5/21/2020,,,0,0,0,0,60.22%,1630,95.23%,106000,133,Metang,,0,65.49%,1414,88.96%,178000,231,Metang,,0
247,Taillow,,276,♀,501,88,0,15,7,48.9,27.0,27.0,,,,"2020-05-21 13:41","2020-05-21 13:41",5/21/2020,,,0,0,1,0,99.76%,11,99.21%,33000,78,Swellow,,0,62.37%,1542,88.36%,178000,256,Swellow,,0
248,Treecko,,252,♂,538,75,10,14,10,75.6,19.0,19.0,,,,"2020-05-21 13:41","2020-05-21 13:41",5/21/2020,,,0,0,2,0,76.19%,976,95.33%,150000,169,Grovyle,,0,69.55%,1248,96.62%,150000,269,Sceptile,,0
249,Ralts,,280,♀,445,81,15,11,13,86.7,30.0,30.0,,,,"2020-05-21 13:41","2020-05-21 13:41",5/20/2020,,,0,0,4,0,97.61%,99,94.32%,150000,207,Kirlia,,0,97.61%,99,94.32%,150000,207,Kirlia,,0
250,Ralts,,280,♀,409,79,9,7,8,53.3,32.0,32.0,,,,"2020-05-21 13:41","2020-05-21 13:41",5/19/2020,,,0,0,4,0,54.41%,1868,83.05%,128000,187,Kirlia,,0,54.41%,1868,83.05%,128000,187,Kirlia,,0
251,Glaceon,,471,♂,1364,92,8,13,10,68.9,16.0,16.0,Frost Breath,Ice Beam,,"2020-05-21 12:24","2020-05-21 12:24",4/26/2020,27.35kg,0.81m,0,0,0,1900,84.79%,624,96.56%,6000,6,Glaceon,,0,,,,,,,,
252,Glaceon,,471,♂,2695,127,13,14,9,80.0,32.0,32.0,Frost Breath,Icy Wind,,"2020-05-21 12:24","2020-05-21 12:24",4/26/2020,31.02kg,0.79m,0,0,0,6000,,,,,,,,,,,,,,,,
253,Glaceon,,471,♂,2441,125,10,13,15,84.4,28.0,28.0,Frost Breath,Ice Beam,,"2020-05-21 12:24","2020-05-21 12:24",4/26/2020,,,0,0,0,0,,,,,,,,,70.72%,1200,96.56%,4500,4,Glaceon,,0
254,Aron,,304,♀,529,80,3,8,13,53.3,16.0,16.0,,,,"2020-05-20 21:51","2020-05-20 21:51",5/20/2020,,,0,0,1,0,94.24%,237,97.36%,73600,91,Lairon,,0,85.69%,587,97.43%,120600,233,Aggron,,0
255,Absol,,359,♀,1399,104,11,13,12,80.0,20.0,20.0,Psycho Cut,Thunder,,"2020-05-20 21:51","2020-05-20 21:51",5/20/2020,,,0,0,3,0,46.98%,2172,94.70%,5000,4,Absol,,0,96.17%,158,96.68%,225000,248,Absol,,0
256,Poochyena,,261,♂,462,79,6,12,2,44.4,28.0,28.0,,,,"2020-05-20 21:51","2020-05-20 21:51",5/20/2020,,,0,0,1,0,76.90%,947,96.66%,19000,66,Mightyena,,0,44.86%,2259,86.88%,169000,248,Mightyena,,0
257,Aron,,304,♂,635,84,4,14,8,57.8,19.0,19.0,,,,"2020-05-20 21:51","2020-05-20 21:51",5/20/2020,,,0,0,1,0,72.82%,1114,95.67%,56500,75,Lairon,,0,81.90%,742,97.23%,108000,221,Aggron,,0
258,Aron,,304,♀,636,83,6,1,2,20.0,20.0,20.0,,,,"2020-05-20 21:51","2020-05-20 21:51",5/20/2020,,,0,0,1,0,43.69%,2307,94.19%,65000,83,Lairon,,0,32.01%,2785,95.03%,130000,247,Aggron,,0
259,Ralts,,280,♀,363,77,7,6,11,53.3,28.0,28.0,,,,"2020-05-20 21:51","2020-05-20 21:51",5/20/2020,,,0,0,1,0,56.48%,1783,83.39%,169000,223,Kirlia,,0,54.02%,1884,96.21%,19000,141,Gardevoir,,0
260,Mudkip,,258,♂,497,83,1,8,10,42.2,18.0,18.0,,,,"2020-05-20 21:50","2020-05-20 21:50",5/20/2020,,,0,0,2,0,58.53%,1699,95.19%,4400,129,Swampert,,0,,,,,,,,
261,Aron,,304,♀,962,98,11,4,0,33.3,29.0,29.0,,,,"2020-05-20 21:50","2020-05-20 21:50",5/20/2020,,,0,0,1,0,21.39%,3220,81.19%,160000,190,Aron,,0,3.15%,3967,93.29%,44000,165,Aggron,,0
262,Torchic,,255,♂,534,76,14,12,7,73.3,18.0,18.0,,,,"2020-05-20 21:50","2020-05-20 21:50",5/20/2020,,,0,0,2,0,60.83%,1605,95.68%,4400,129,Blaziken,,0,48.67%,2103,95.80%,125400,239,Blaziken,,0
263,Feebas,,349,♀,150,57,14,14,12,88.9,20.0,20.0,,,,"2020-05-20 21:50","2020-05-20 21:50",5/20/2020,,,0,0,1,0,98.88%,47,93.08%,225000,248,Feebas,,0,54.53%,1863,96.25%,70000,162,Milotic,,0
264,Gulpin,,316,♀,622,130,6,15,12,73.3,28.0,28.0,,,,"2020-05-20 21:50","2020-05-20 21:50",5/20/2020,,,0,0,2,0,70.72%,1200,96.10%,0,50,Swalot,,0,87.69%,505,93.20%,169000,248,Swalot,,0
265,Makuhita,,296,♂,650,140,12,7,14,73.3,31.0,31.0,,,,"2020-05-20 21:49","2020-05-20 21:49",5/20/2020,,,0,0,1,0,77.36%,928,86.08%,140000,174,Makuhita,,0,29.45%,2890,94.88%,45000,98,Hariyama,,0
266,Mudkip,,258,♂,511,83,14,3,14,68.9,17.0,17.0,,,,"2020-05-20 21:49","2020-05-20 21:49",5/20/2020,,,0,0,2,0,9.21%,3719,92.49%,4400,129,Swampert,,0,,,,,,,,
267,Zubat,,41,♂,220,59,13,6,4,51.1,13.0,13.0,,,,"2020-05-20 21:49","2020-05-20 21:49",5/20/2020,,,0,1,0,0,11.89%,3609,92.22%,19450,41,Golbat,,2,52.09%,1963,94.69%,149500,284,Crobat,,2
268,Torchic,,255,♂,575,80,14,13,11,84.4,19.0,19.0,,,,"2020-05-20 21:48","2020-05-20 21:48",5/20/2020,,,0,0,1,0,70.53%,1208,94.74%,142000,159,Combusken,,0,59.66%,1653,96.20%,108000,221,Blaziken,,0
269,Barboach,,339,♂,551,103,7,11,15,73.3,26.0,26.0,,,,"2020-05-20 21:48","2020-05-20 21:48",5/15/2020,,,0,0,2,0,54.73%,1855,94.95%,4000,54,Whiscash,,0,86.20%,566,92.74%,186000,264,Whiscash,,0
270,Hariyama,,297,♂,1569,187,13,11,12,80.0,20.0,20.0,Bullet Punch,Close Combat,,"2020-05-20 21:48","2020-05-20 21:48",5/17/2020,,,0,0,0,0,,,,,,,,,49.50%,2069,95.72%,116000,106,Hariyama,,0
271,Mudkip,,258,♂,498,80,8,10,9,60.0,17.0,17.0,,,,"2020-05-20 21:48","2020-05-20 21:48",5/19/2020,,,0,0,2,0,63.13%,1511,95.41%,6600,131,Swampert,,0,59.32%,1667,96.48%,110800,223,Swampert,,0
272,Aron,,304,♀,916,100,12,9,10,68.9,26.0,26.0,,,,"2020-05-20 21:48","2020-05-20 21:48",5/19/2020,,,0,0,2,0,32.53%,2764,93.63%,4000,29,Lairon,,0,,,,,,,,
273,Lillipup,,506,♂,503,84,12,13,14,86.7,20.0,20.0,,,,"2020-05-20 21:48","2020-05-20 21:48",5/19/2020,,,0,0,1,0,94.16%,240,97.44%,187000,219,Herdier,,0,55.12%,1839,96.10%,109000,223,Stoutland,,0
274,Ralts,,280,♂,198,51,15,4,0,42.2,15.0,15.0,,,,"2020-05-20 21:48","2020-05-20 21:48",5/19/2020,,,0,0,1,0,5.03%,3890,92.04%,12000,137,Gardevoir,,0,6.81%,3817,93.89%,101400,215,Gardevoir,,0
275,Houndour,,228,♂,805,88,14,6,5,55.6,25.0,25.0,,,,"2020-05-19 23:18","2020-05-19 23:18",4/29/2020,11.8kg,0.6m,0,2,4,3600,55.29%,1832,83.88%,174600,210,Houndour,,2,51.94%,1969,93.77%,174600,255,Houndoom,,2
276,Exeggcute,,102,♀,720,107,5,4,6,33.3,25.0,25.0,,,,"2020-05-19 23:17","2020-05-19 23:17",5/2/2020,1.66kg,0.34m,0,2,4,3600,19.24%,3308,80.17%,174600,210,Exeggcute,,2,43.71%,2306,95.68%,76500,123,Exeggutor,Normal,2
277,Duskull,,355,♀,340,57,0,5,7,26.7,22.0,22.0,,,,"2020-05-19 20:56","2020-05-19 20:56",5/19/2020,,,0,0,1,0,62.08%,1554,95.44%,16500,140,Dusknoir,,0,12.70%,3576,83.37%,214000,363,Dusknoir,,0
278,Torchic,,255,♂,516,75,13,8,5,57.8,18.0,18.0,,,,"2020-05-19 20:56","2020-05-19 20:56",5/19/2020,,,0,0,2,0,69.72%,1241,96.09%,6900,131,Blaziken,,0,6.15%,3844,93.76%,139400,255,Blaziken,,0
279,Taillow,,276,♂,657,98,15,14,13,93.3,31.0,31.0,,,,"2020-05-19 20:56","2020-05-19 20:56",5/19/2020,,,0,0,1,0,99.76%,11,97.75%,140000,174,Taillow,,0,99.54%,20,97.80%,140000,224,Swellow,,0
280,Nosepass,,299,♀,707,77,14,6,12,71.1,26.0,26.0,,,,"2020-05-19 20:56","2020-05-19 20:56",5/19/2020,,,0,0,2,0,34.55%,2681,93.51%,0,50,Probopass,,0,91.23%,360,94.10%,186000,264,Probopass,,0
281,Gible,,443,♀,616,98,14,11,14,86.7,20.0,20.0,,,,"2020-05-19 20:56","2020-05-19 20:56",5/19/2020,,,0,0,1,0,45.08%,2250,94.53%,60500,79,Gabite,,0,17.41%,3383,94.23%,11000,135,Garchomp,,0
282,Piplup,,393,♂,603,93,15,11,15,91.1,20.0,20.0,,,,"2020-05-19 20:56","2020-05-19 20:56",5/19/2020,,,0,0,1,0,58.58%,1697,94.89%,103000,117,Prinplup,,0,23.98%,3114,94.97%,80000,195,Empoleon,,0
283,Makuhita,,296,♂,643,139,6,10,10,57.8,33.0,33.0,,,,"2020-05-19 20:55","2020-05-19 20:55",5/19/2020,,,0,0,1,0,64.84%,1441,83.15%,116000,150,Makuhita,,0,73.92%,1069,96.79%,44000,102,Hariyama,,0
284,Gible,,443,♀,609,97,12,12,13,82.2,20.0,20.0,,,,"2020-05-19 20:55","2020-05-19 20:55",5/19/2020,,,0,0,2,0,24.96%,3074,93.47%,60500,79,Gabite,,0,78.19%,894,96.74%,14000,138,Garchomp,,0
285,Ralts,,280,♀,218,55,10,12,5,60.0,16.0,16.0,,,,"2020-05-19 20:55","2020-05-19 20:55",5/19/2020,,,0,0,2,0,17.63%,3374,93.16%,6000,131,Gardevoir,,0,21.78%,3204,94.86%,87600,203,Gardevoir,,0
286,Ralts,,280,♂,411,79,15,6,11,71.1,29.0,29.0,,,,"2020-05-19 13:27","2020-05-19 13:27",5/16/2020,,,0,0,5,0,84.93%,618,88.77%,160000,215,Kirlia,,0,16.61%,3416,94.58%,0,125,Gardevoir,,0
287,Ralts,,280,♂,390,80,6,8,11,55.6,30.0,30.0,,,,"2020-05-19 13:27","2020-05-19 13:27",5/17/2020,,,0,0,5,0,63.25%,1506,84.44%,150000,207,Kirlia,,0,68.01%,1311,96.77%,0,125,Gardevoir,,0
288,Ralts,,280,♂,238,59,7,12,6,55.6,18.0,18.0,,,,"2020-05-19 13:26","2020-05-19 13:26",5/19/2020,,,0,0,2,0,84.66%,629,96.60%,0,125,Gardevoir,,0,68.77%,1280,96.81%,84400,199,Gardevoir,,0
289,Ralts,,280,♀,223,58,15,11,14,88.9,15.0,15.0,,,,"2020-05-19 13:26","2020-05-19 13:26",5/17/2020,,,0,0,2,0,48.35%,2116,94.72%,7600,133,Gardevoir,,0,,,,,,,,
290,Ralts,,280,♀,201,57,8,8,13,64.4,15.0,15.0,,,,"2020-05-19 13:26","2020-05-19 13:26",5/18/2020,,,0,0,1,0,40.15%,2452,94.35%,9800,135,Gardevoir,,0,65.37%,1419,96.67%,91400,207,Gardevoir,,0
291,Ralts,,280,♂,109,40,14,6,8,62.2,8.0,8.0,,,,"2020-05-19 13:26","2020-05-19 13:26",4/28/2020,6.49kg,0.4m,0,1,1,961,13.55%,3541,92.87%,32406,176,Gardevoir,,1,20.29%,3265,94.78%,35600,147,Gardevoir,,2
292,Shroomish,,285,♀,424,104,2,12,11,55.6,22.0,22.0,,,,"2020-05-19 12:09","2020-05-19 12:09",5/19/2020,,,0,0,1,0,46.81%,2179,81.48%,214000,238,Shroomish,,0,79.54%,839,95.92%,214000,288,Breloom,,0
293,Klink,,599,,512,80,10,10,15,77.8,20.0,20.0,,,,"2020-05-19 12:09","2020-05-19 12:09",5/19/2020,,,0,0,5,0,76.26%,973,95.99%,2500,127,Klinklang,,0,,,,,,,,
294,Seviper,,336,♂,1598,129,9,15,6,66.7,28.0,28.0,,,,"2020-05-19 12:09","2020-05-19 12:09",5/19/2020,,,0,0,1,0,,,,,,,,,86.84%,540,92.65%,169000,198,Seviper,,0
295,Torchic,,255,♂,819,104,5,3,15,51.1,30.0,30.0,,,,"2020-05-19 12:09","2020-05-19 12:09",5/19/2020,,,0,0,1,0,73.58%,1083,94.93%,150000,207,Combusken,,0,70.77%,1198,96.62%,86000,219,Blaziken,,0
296,Mudkip,,258,♂,555,83,11,0,2,28.9,20.0,20.0,,,,"2020-05-19 12:08","2020-05-19 12:08",5/19/2020,,,0,0,1,0,4.08%,3929,92.11%,153000,175,Marshtomp,,0,4.30%,3920,93.87%,123000,239,Swampert,,0
297,Sealeo,,364,♀,716,112,14,12,11,82.2,15.0,15.0,,,,"2020-05-19 09:35","2020-05-19 09:35",5/19/2020,,,0,0,4,0,47.94%,2133,94.90%,18900,118,Walrein,,0,60.46%,1620,95.45%,166400,260,Walrein,,0
298,Machamp,,68,♂,1413,121,10,6,14,66.7,17.0,17.0,Counter,Rock Slide,,"2020-05-19 09:29","2020-05-19 09:29",5/8/2020,,,0,0,3,0,84.22%,647,96.76%,4400,4,Machamp,,0,,,,,,,,
299,Spheal,,363,♀,494,109,9,7,11,60.0,20.0,20.0,,,,"2020-05-18 13:38","2020-05-18 13:38",5/18/2020,,,0,0,2,0,21.59%,3212,93.57%,0,125,Walrein,,0,,,,,,,,
300,Seviper,,336,♂,1473,128,13,12,15,88.9,25.0,25.0,Poison Jab,Poison Fang,,"2020-05-18 13:38","2020-05-18 13:38",5/18/2020,,,0,0,0,0,35.75%,2632,94.29%,0,0,Seviper,,0,98.49%,63,96.82%,194000,220,Seviper,,0
301,Slakoth,,287,♀,657,108,12,2,4,40.0,26.0,26.0,,,,"2020-05-18 13:38","2020-05-18 13:38",5/18/2020,,,0,0,1,0,13.53%,3542,92.85%,26000,49,Vigoroth,,0,30.62%,2842,85.27%,186000,239,Vigoroth,,0
302,Sandshrew,Normal,27,♂,272,56,13,9,13,77.8,8.0,8.0,,,,"2020-05-18 13:37","2020-05-18 13:37",5/18/2020,,,0,1,1,0,21.03%,3235,93.20%,63126,134,Sandslash,Normal,1,99.07%,39,97.89%,177600,258,Sandslash,Normal,2
303,Aron,,304,♂,664,87,4,10,10,53.3,20.0,20.0,,,,"2020-05-18 13:37","2020-05-18 13:37",5/18/2020,,,0,0,1,0,93.36%,273,97.24%,56000,75,Lairon,,0,66.45%,1375,96.51%,103000,217,Aggron,,0
304,Hariyama,,297,♂,1397,175,15,8,7,66.7,18.0,18.0,Counter,Heavy Slam,,"2020-05-18 13:37","2020-05-18 13:37",5/18/2020,,,0,0,3,0,7.91%,3772,92.40%,4400,4,Hariyama,,0,10.11%,3682,93.80%,132400,122,Hariyama,,0
305,Nuzleaf,,274,♂,805,123,6,7,9,48.9,26.0,26.0,,,,"2020-05-18 13:37","2020-05-18 13:37",5/18/2020,,,0,0,1,0,48.55%,2108,83.54%,186000,214,Nuzleaf,,0,46.57%,2189,87.60%,186000,314,Shiftry,,0
306,Gligar,,207,♂,1027,106,12,10,15,82.2,20.0,20.0,Wing Attack,Dig,,"2020-05-18 13:36","2020-05-18 13:36",5/18/2020,,,0,0,2,0,86.98%,534,97.08%,0,100,Gliscor,,0,72.38%,1132,95.94%,161000,260,Gliscor,,0
307,Mawile,,303,♂,1138,98,14,13,11,84.4,25.0,25.0,Astonish,Iron Head,,"2020-05-18 13:35","2020-05-18 13:35",5/18/2020,,,0,0,1,0,71.06%,1186,94.23%,114000,112,Mawile,,0,96.73%,135,94.87%,194000,220,Mawile,,0
308,Aron,,304,♀,665,84,6,12,4,48.9,20.0,20.0,,,,"2020-05-18 09:51","2020-05-18 09:51",5/18/2020,,,0,0,1,0,77.73%,913,95.96%,56000,75,Lairon,,0,55.70%,1815,96.05%,109000,223,Aggron,,0
309,Wurmple,,265,♀,512,106,14,15,14,95.6,33.0,33.0,,,,"2020-05-17 19:53","2020-05-17 19:53",5/17/2020,,,0,0,1,0,99.80%,9,98.38%,116000,212,Dustox,,0,99.88%,6,98.77%,116000,212,Beautifly,,0
310,Mudkip,,258,♂,877,111,9,4,15,62.2,30.0,30.0,,,,"2020-05-17 19:53","2020-05-17 19:53",5/17/2020,,,0,0,2,0,48.13%,2125,94.94%,41000,65,Marshtomp,,0,45.32%,2240,95.94%,22000,145,Swampert,,0
311,Taillow,,276,♂,493,88,0,12,8,44.4,27.0,27.0,,,,"2020-05-17 19:15","2020-05-17 19:15",5/17/2020,,,0,0,1,0,99.10%,38,98.69%,38000,82,Swellow,,0,46.79%,2180,86.45%,178000,256,Swellow,,0
312,Plusle,,311,♀,1427,120,6,15,10,68.9,30.0,30.0,Quick Attack,Grass Knot,,"2020-05-17 19:15","2020-05-17 19:15",5/17/2020,,,0,0,0,0,90.35%,396,97.23%,34000,32,Plusle,,0,88.08%,489,92.22%,150000,182,Plusle,,0
313,Aron,,304,♀,635,82,7,10,5,48.9,19.0,19.0,,,,"2020-05-17 19:15","2020-05-17 19:15",5/17/2020,,,0,0,1,0,38.29%,2528,93.92%,56500,75,Lairon,,0,48.91%,2093,95.77%,108000,221,Aggron,,0
314,Aerodactyl,,142,♂,1586,121,15,15,14,97.8,20.0,20.0,Bite,Iron Head,,"2020-05-17 19:15","2020-05-17 19:15",5/17/2020,,,0,0,1,0,,,,,,,,,64.47%,1456,96.39%,109000,98,Aerodactyl,,0
315,Nincada,,290,♂,428,69,15,12,12,86.7,20.0,20.0,,,,"2020-05-17 19:15","2020-05-17 19:15",5/17/2020,,,0,0,0,0,42.05%,2374,94.42%,47000,92,Ninjask,,0,97.26%,113,95.47%,225000,298,Ninjask,,0
316,Kabuto,,140,♂,746,68,11,12,12,77.8,20.0,20.0,,,,"2020-05-17 19:15","2020-05-17 19:15",5/17/2020,,,0,0,2,0,84.59%,632,97.04%,0,50,Kabutops,,0,73.99%,1066,96.42%,161000,210,Kabutops,,0
317,Sableye,,302,♂,666,79,9,12,8,64.4,17.0,17.0,,,,"2020-05-17 19:15","2020-05-17 19:15",5/17/2020,,,0,0,1,0,78.22%,893,89.53%,238800,260,Sableye,,0,78.22%,893,89.53%,238800,260,Sableye,,0
318,Torchic,,255,♂,575,78,13,3,0,35.6,21.0,21.0,,,,"2020-05-17 19:15","2020-05-17 19:15",5/17/2020,,,0,0,1,0,18.10%,3355,90.55%,220000,269,Combusken,,0,0.76%,4065,92.78%,156000,281,Blaziken,,0
319,Seviper,,336,♂,1543,132,13,5,14,71.1,27.0,27.0,Iron Tail,Wrap,,"2020-05-17 19:15","2020-05-17 19:15",5/17/2020,,,0,0,1,0,,,,,,,,,77.44%,925,91.00%,178000,206,Seviper,,0
320,Mudkip,,258,♀,457,76,6,10,6,48.9,16.0,16.0,,,,"2020-05-17 19:14","2020-05-17 19:14",5/17/2020,,,0,0,1,0,90.45%,392,97.08%,12600,137,Swampert,,0,61.61%,1573,96.57%,126600,239,Swampert,,0
321,Aron,,304,♀,930,100,11,15,11,82.2,26.0,26.0,,,,"2020-05-17 15:41","2020-05-17 15:41",5/17/2020,,,0,0,2,0,39.34%,2485,93.97%,0,25,Lairon,,0,,,,,,,,
322,Chikorita,,152,♂,537,86,2,13,4,42.2,24.0,24.0,,,,"2020-05-17 15:41","2020-05-17 15:41",5/17/2020,,,0,0,5,0,80.34%,806,96.50%,0,125,Meganium,,0,30.87%,2832,86.93%,201000,351,Meganium,,0
323,Aron,,304,♂,1057,107,13,15,12,88.9,29.0,29.0,,,,"2020-05-17 15:41","2020-05-17 15:41",5/17/2020,,,0,0,2,0,98.66%,56,96.07%,160000,190,Aron,,0,42.91%,2339,95.51%,5000,129,Aggron,,0
324,Yanma,,193,♂,819,103,15,12,11,84.4,20.0,20.0,,,,"2020-05-17 15:41","2020-05-17 15:41",5/17/2020,,,0,0,1,0,97.14%,118,95.16%,225000,248,Yanma,,0,60.95%,1600,96.31%,80000,170,Yanmega,,0
325,Carvanha,,318,♂,572,83,5,6,0,24.4,24.0,24.0,,,,"2020-05-17 15:41","2020-05-17 15:41",5/17/2020,,,0,0,1,0,18.97%,3319,92.69%,23000,70,Sharpedo,,0,13.55%,3541,80.17%,201000,276,Sharpedo,,0
326,Aron,,304,♂,999,103,15,15,12,93.3,27.0,27.0,,,,"2020-05-17 15:41","2020-05-17 15:41",5/17/2020,,,0,0,1,0,99.54%,20,97.50%,178000,206,Aron,,0,12.58%,3581,94.07%,18000,141,Aggron,,0
327,Sableye,,302,♂,1091,105,4,9,9,48.9,29.0,29.0,,,,"2020-05-17 15:40","2020-05-17 15:40",5/17/2020,,,0,0,1,0,49.11%,2085,85.54%,160000,190,Sableye,,0,49.11%,2085,85.54%,160000,190,Sableye,,0
328,Slakoth,,287,♀,541,98,11,6,6,51.1,21.0,21.0,,,,"2020-05-17 15:40","2020-05-17 15:40",5/17/2020,,,0,0,1,0,18.07%,3356,93.18%,55500,75,Vigoroth,,0,51.04%,2006,87.65%,220000,269,Vigoroth,,0
329,Krabby,,98,♂,745,65,4,13,13,66.7,18.0,18.0,,,,"2020-05-17 15:40","2020-05-17 15:40",5/17/2020,,,0,0,2,0,95.36%,191,98.05%,6900,56,Kingler,,0,94.55%,224,98.24%,146400,188,Kingler,,0
330,Alomomola,,594,♀,1728,246,13,12,4,64.4,29.0,29.0,Waterfall,Blizzard,,"2020-05-17 15:40","2020-05-17 15:40",5/17/2020,,,0,0,0,0,,,,,,,,,88.69%,464,93.88%,160000,190,Alomomola,,0
331,Sableye,,302,♂,802,88,12,10,11,73.3,20.0,20.0,,,,"2020-05-17 15:40","2020-05-17 15:40",5/17/2020,,,0,0,1,0,88.60%,468,91.67%,225000,248,Sableye,,0,88.60%,468,91.67%,225000,248,Sableye,,0
332,Horsea,,116,♂,736,73,12,2,2,35.6,28.0,28.0,,,,"2020-05-17 15:40","2020-05-17 15:40",5/17/2020,,,0,0,1,0,18.49%,3339,77.66%,169000,198,Horsea,,0,20.44%,3259,91.23%,169000,323,Kingdra,,0
333,Carvanha,,318,♂,746,92,10,13,3,57.8,28.0,28.0,,,,"2020-05-17 15:39","2020-05-17 15:39",5/17/2020,,,0,0,1,0,78.05%,900,85.41%,169000,198,Carvanha,,0,75.80%,992,90.18%,169000,248,Sharpedo,,0
334,Krabby,,98,♀,1166,82,7,1,13,46.7,29.0,29.0,,,,"2020-05-17 15:39","2020-05-17 15:39",5/17/2020,,,0,0,1,0,46.08%,2209,87.97%,160000,190,Krabby,,0,56.87%,1767,96.24%,96000,152,Kingler,,0
335,Carvanha,,318,♂,561,87,8,4,8,44.4,23.0,23.0,,,,"2020-05-17 15:39","2020-05-17 15:39",5/17/2020,,,0,0,1,0,24.66%,3086,93.03%,26000,72,Sharpedo,,0,32.48%,2766,83.43%,208000,282,Sharpedo,,0
336,Pineco,,204,♀,612,87,13,15,10,84.4,20.0,20.0,,,,"2020-05-17 15:39","2020-05-17 15:39",5/17/2020,,,0,0,1,0,58.83%,1687,95.41%,20500,69,Forretress,,0,96.78%,133,96.30%,225000,298,Forretress,,0
337,Clamperl,,366,♀,517,62,12,12,10,75.6,15.0,15.0,,,,"2020-05-17 15:39","2020-05-17 15:39",5/17/2020,,,0,0,0,0,30.77%,2836,93.58%,29400,77,Gorebyss,,0,91.75%,339,94.09%,246400,318,Gorebyss,,0
338,Seviper,,336,♂,1318,124,4,6,14,53.3,24.0,24.0,Poison Jab,Crunch,,"2020-05-17 15:39","2020-05-17 15:39",5/17/2020,,,0,0,1,0,69.50%,1250,95.86%,23000,20,Seviper,,0,52.80%,1934,87.79%,201000,226,Seviper,,0
339,Magikarp,,129,♂,105,49,12,11,11,75.6,15.0,15.0,,,,"2020-05-17 12:59","2020-05-17 12:59",5/17/2020,,,0,0,2,0,12.45%,3586,92.55%,1900,402,Gyarados,,0,,,,,,,,
340,Swablu,,333,♀,563,95,5,4,5,31.1,29.0,29.0,,,,"2020-05-17 12:58","2020-05-17 12:58",5/17/2020,,,0,0,2,0,66.50%,1373,95.45%,5000,404,Altaria,,0,14.75%,3492,84.21%,160000,590,Altaria,,0
341,Absol,,359,♀,1066,92,15,11,15,91.1,15.0,15.0,Snarl,Dark Pulse,,"2020-05-17 12:58","2020-05-17 12:58",5/17/2020,,,0,0,1,0,67.23%,1343,95.62%,26400,24,Absol,,0,98.44%,65,98.11%,246400,268,Absol,,0
342,Aron,,304,♀,1014,101,15,15,6,80.0,28.0,28.0,,,,"2020-05-17 12:58","2020-05-17 12:58",5/17/2020,,,0,0,0,0,96.19%,157,94.17%,169000,198,Aron,,0,5.37%,3876,93.52%,14000,137,Aggron,,0
343,Slakoth,,287,♂,399,85,10,11,11,71.1,15.0,15.0,,,,"2020-05-17 12:57","2020-05-17 12:57",5/17/2020,,,0,0,1,0,70.16%,1223,96.05%,77400,95,Vigoroth,,0,27.55%,2968,94.75%,21400,145,Slaking,,0
344,Shedinja,,292,,163,10,14,11,15,88.9,15.0,15.0,,,,"2020-05-17 12:57","2020-05-17 12:57",5/17/2020,,,0,0,0,0,99.39%,26,94.89%,246400,268,Shedinja,,0,99.39%,26,94.89%,246400,268,Shedinja,,0
345,Gulpin,,316,♂,557,120,5,14,5,53.3,26.0,26.0,,,,"2020-05-17 12:57","2020-05-17 12:57",5/17/2020,,,0,0,1,0,85.45%,597,97.11%,26000,74,Swalot,,0,58.12%,1716,89.07%,186000,264,Swalot,,0
