Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Product (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Product (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U)
Geodude,Normal,74,?,927,95,5,4,15,53.3,28,28,,,,2020-51-05 16:51,2020-51-05 16:51,5/5/2020,,,0,0,2,0,89.11%,447,97.26%,24000,45,Graveler,Normal,0,78.75%,871,97.08%,60000,181,Golem,Normal,0
Geodude,Normal,74,?,1112,98,14,5,10,64.4,34,34,,,,2020-47-05 16:47,2020-47-05 16:47,5/5/2020,,,0,0,1,0,77.73%,913,89.07%,102000,134,Geodude,Normal,0,79.46%,842,90.93%,102000,159,Graveler,Normal,0
Geodude,Normal,74,?,876,89,8,7,11,57.8,26,26,,,,2020-59-04 18:59,2020-59-04 18:59,5/4/2020,,,0,0,2,0,34.80%,2671,94.09%,31000,53,Graveler,Normal,0,65.57%,1411,96.53%,70000,189,Golem,Normal,0
Geodude,Normal,74,,626,74,15,14,15,97.8,17,17,,,,2020-37-04 18:37,2020-37-04 18:37,5/3/2020,,,1,0,5,0,36.26%,2611,94.18%,32650,83,Graveler,Normal,0,30.31%,2855,95.19%,41900,199,Golem,Normal,0
Geodude,Normal,74,?,755,78,14,6,6,57.8,22,22,,,,2020-36-04 18:36,2020-36-04 18:36,5/4/2020,,,0,0,2,0,4.13%,3927,91.80%,54000,73,Graveler,Normal,0,6.06%,3848,93.89%,86000,201,Golem,Normal,0
Geodude,Normal,74,?,443,62,3,5,6,31.1,14,14,,,,2020-55-03 12:55,2020-55-03 12:55,5/2/2020,,,0,0,4,0,66.89%,1357,95.87%,22100,147,Golem,Normal,0,64.05%,1473,96.47%,169600,289,Golem,Normal,0
Geodude,Normal,74,?,725,80,11,8,11,66.7,21,21,,,,2020-55-03 12:55,2020-55-03 12:55,5/1/2020,,,0,0,2,0,30.01%,2867,93.82%,60000,79,Graveler,Normal,0,54.99%,1844,96.13%,92000,207,Golem,Normal,0
Ponyta,,77,?,963,90,15,14,14,95.6,20,20,Tackle,Flame Charge,,7/28/2020 19:07,7/28/2020 19:07,3/22/2020,51.18kg,1.29m,0,0,2,2500,22.98%,3155,93.29%,5000,54,Rapidash,,0,,,,,,,,
Slowpoke,,79,?,787,143,14,4,12,66.7,24,24,,,,2/6/2020 22:02,2/6/2020 22:02,5/6/2020,,,0,0,1,0,75.56%,1002,88.51%,201000,226,Slowpoke,,0,82.15%,732,94.80%,201000,276,Slowbro,,0
Slowpoke,,79,?,652,133,4,11,11,57.8,21,21,Confusion,Psyshock,,2020-36-28 19:36,2020-36-28 19:36,2/17/2020,32.76kg,1.2m,0,0,2,3000,78.95%,863,96.24%,6000,56,Slowbro,,0,,,,,,,,
Slowbro,,80,?,1488,140,5,13,9,60,22,22,Confusion,Water Pulse,,2020-51-26 07:51,2020-51-26 07:51,3/30/2020,85.35kg,1.69m,0,0,0,3000,81.54%,757,96.41%,0,0,Slowbro,,0,68.40%,1295,93.17%,214000,238,Slowbro,,0
Magnemite,,81,,684,59,1,14,6,46.7,20,20,,,,2020-34-05 13:34,2020-34-05 13:34,5/5/2020,,,0,0,1,0,89.30%,439,96.80%,17000,41,Magneton,,0,94.70%,218,97.89%,70000,187,Magnezone,,0
Magnemite,,81,,909,72,7,9,15,68.9,25,25,,,,4/2/2020 23:04,4/2/2020 23:04,5/2/2020,,,0,0,1,0,90.11%,406,91.34%,194000,220,Magnemite,,0,92.58%,305,97.67%,29500,151,Magnezone,,0
Magneton,,82,,1217,83,0,11,7,40,19,19,Spark,Zap Cannon,,2020-29-28 14:29,2020-29-28 14:29,3/22/2020,52.27kg,0.98m,0,0,4,2500,75.07%,1022,95.83%,22000,20,Magneton,,0,63.05%,1514,96.15%,75000,166,Magnezone,,0
Magneton,,82,,1506,90,0,10,2,26.7,24,24,Charge Beam,Magnet Bomb,,2020-50-26 07:50,2020-50-26 07:50,3/22/2020,44.2kg,0.88m,0,0,1,3500,,,,,,,,,74.41%,1049,96.61%,56000,148,Magnezone,,0
Doduo,,84,?,186,39,10,11,12,73.3,6,6,Peck,Brave Bird,,2020-35-28 19:35,2020-35-28 19:35,2/20/2020,33.5kg,1.17m,0,0,0,600,57.26%,1751,95.08%,58400,112,Dodrio,,0,89.08%,448,93.19%,266400,344,Dodrio,,0
Seel,,86,?,640,117,3,7,3,28.9,28,28,,,,3/6/2020 22:03,3/6/2020 22:03,5/6/2020,,,0,0,1,0,72.70%,1119,96.12%,19000,66,Dewgong,,0,11.36%,3631,83.32%,169000,248,Dewgong,,0
Seel,,86,?,610,115,10,6,14,66.7,24,24,,,,2020-46-06 17:46,2020-46-06 17:46,5/6/2020,,,0,0,1,0,62.03%,1556,95.45%,32000,78,Dewgong,,0,79.19%,853,91.69%,201000,276,Dewgong,,0
Seel,,86,?,488,104,4,5,7,35.6,21,21,,,,2020-34-05 13:34,2020-34-05 13:34,5/5/2020,,,0,0,1,0,60.66%,1612,95.38%,65000,108,Dewgong,,0,22.15%,3189,85.00%,220000,294,Dewgong,,0
Grimer,Normal,88,?,719,116,8,12,5,55.6,20,20,,,,2020-41-07 14:41,2020-41-07 14:41,4/26/2020,,,0,0,2,0,51.48%,1988,95.34%,0,50,Muk,Normal,0,,,,,,,,
Grimer,Normal,88,?,764,120,12,15,12,86.7,20,20,,,,7/2/2020 23:07,7/2/2020 23:07,5/2/2020,,,0,0,1,0,98.63%,57,96.19%,225000,248,Grimer,Normal,0,57.97%,1722,95.96%,130000,172,Muk,Normal,0
Muk,Normal,89,?,1179,127,15,15,14,97.8,15,15,Infestation,Acid Spray,,2020-29-05 06:29,2020-29-05 06:29,5/5/2020,,,0,0,0,0,65.49%,1414,95.97%,16400,16,Muk,Normal,0,56.19%,1795,95.88%,137400,126,Muk,Normal,0
Muk,Normal,89,?,1145,125,13,11,10,75.6,15,15,Infestation,Sludge Wave,,2020-45-03 10:45,2020-45-03 10:45,5/3/2020,,,0,0,0,0,54.33%,1871,95.45%,18900,18,Muk,Normal,0,36.97%,2582,95.10%,158400,150,Muk,Normal,0
Muk,Normal,89,?,1140,126,10,14,11,77.8,15,15,Poison Jab,Thunder Punch,,5/2/2020 23:05,5/2/2020 23:05,5/2/2020,,,0,0,0,0,57.19%,1754,95.58%,18900,18,Muk,Normal,0,,,,,,,,
Muk,Normal,89,?,2113,173,11,8,13,71.1,28,28,Infestation,Thunder Punch,,2020-36-29 12:36,2020-36-29 12:36,3/6/2020,,,0,0,0,0,,,,,,,,,48.47%,2111,95.57%,97000,100,Muk,Normal,0
Shellder,,90,?,876,79,14,13,6,73.3,30,30,,,,2020-46-06 17:46,2020-46-06 17:46,5/6/2020,,,0,0,2,0,88.23%,483,90.46%,150000,182,Shellder,,0,85.52%,594,94.90%,150000,232,Cloyster,,0
Shellder,,90,?,873,85,10,6,14,66.7,31,31,,,,2020-46-06 17:46,2020-46-06 17:46,5/6/2020,,,0,0,1,0,84.30%,644,89.39%,140000,174,Shellder,,0,88.16%,486,95.39%,140000,224,Cloyster,,0
Shellder,,90,?,590,67,10,8,8,57.8,21,21,,,,2020-52-05 19:52,2020-52-05 19:52,5/5/2020,,,0,0,2,0,13.09%,3560,92.58%,3000,53,Cloyster,,0,65.10%,1430,92.08%,220000,294,Cloyster,,0
Shellder,,90,?,607,66,1,10,0,24.4,24,24,,,,2020-51-05 19:51,2020-51-05 19:51,5/5/2020,,,0,0,1,0,5.32%,3878,75.06%,201000,226,Shellder,,0,4.08%,3929,83.86%,201000,276,Cloyster,,0
Shellder,,90,?,865,79,15,7,6,62.2,30,30,,,,2020-24-03 20:24,2020-24-03 20:24,5/3/2020,,,0,0,1,0,74.75%,1035,87.43%,150000,182,Shellder,,0,74.55%,1043,93.24%,150000,232,Cloyster,,0
Shellder,,90,?,844,80,9,4,6,42.2,32,32,,,,7/2/2020 23:07,7/2/2020 23:07,5/2/2020,,,0,0,1,0,37.09%,2577,81.65%,128000,162,Shellder,,0,40.39%,2442,89.43%,128000,212,Cloyster,,0
Shellder,,90,?,592,68,14,8,13,77.8,20,20,,,,4/2/2020 23:04,4/2/2020 23:04,5/2/2020,,,0,0,2,0,44.54%,2272,94.34%,5000,54,Cloyster,,0,,,,,,,,
Shellder,,90,?,840,81,5,14,8,60,31,31,,,,2020-58-02 22:58,2020-58-02 22:58,5/2/2020,,,0,0,1,0,64.91%,1438,85.76%,140000,174,Shellder,,0,62.27%,1546,91.77%,140000,224,Cloyster,,0
Shellder,,90,?,857,81,9,14,9,71.1,30,30,,,,2020-53-02 11:53,2020-53-02 11:53,5/2/2020,,,0,0,1,0,85.25%,605,89.63%,150000,182,Shellder,,0,83.15%,691,94.51%,150000,232,Cloyster,,0
Shellder,,90,?,587,64,9,5,1,33.3,22,22,,,,2020-25-01 19:25,2020-25-01 19:25,5/1/2020,,,0,0,2,0,21.61%,3211,93.15%,3000,53,Cloyster,,0,17.07%,3397,86.59%,214000,288,Cloyster,,0
Cloyster,,91,?,1419,87,14,13,10,82.2,20,20,Ice Shard,Avalanche,,2020-54-07 16:54,2020-54-07 16:54,5/7/2020,,,0,0,3,0,37.83%,2547,94.02%,5000,4,Cloyster,,0,,,,,,,,
Cloyster,,91,?,2024,105,10,15,10,77.8,29,29,Ice Shard,Aurora Beam,,2020-30-28 14:30,2020-30-28 14:30,3/28/2020,137.95kg,1.49m,0,0,0,5000,,,,,,,,,91.65%,343,96.18%,160000,190,Cloyster,,0
Gengar,,94,?,1463,98,4,7,15,57.8,19,19,Shadow Claw,Focus Blast,,2020-48-17 08:48,2020-48-17 08:48,5/4/2020,,,0,0,0,0,36.56%,2599,94.30%,0,0,Gengar,,0,,,,,,,,
Onix,,95,?,618,74,14,13,14,91.1,20,20,,,,2020-25-10 00:25,2020-25-10 00:25,5/10/2020,,,0,0,0,0,67.37%,1337,95.30%,11000,60,Steelix,,0,99.56%,19,98.69%,225000,298,Steelix,,0
Onix,,95,?,599,72,13,11,10,75.6,20,20,,,,2020-22-04 11:22,2020-22-04 11:22,5/4/2020,,,0,0,1,0,8.03%,3767,91.73%,11000,60,Steelix,,0,91.33%,356,94.87%,225000,298,Steelix,,0
Hypno,,97,?,1255,132,9,14,13,80,22,22,Zen Headbutt,Psychic,,2020-55-26 07:55,2020-55-26 07:55,3/28/2020,72.2kg,1.68m,0,0,4,3000,57.66%,1735,95.15%,28000,24,Hypno,,0,93.43%,270,94.62%,214000,238,Hypno,,0
Krabby,,98,?,745,65,4,13,13,66.7,18,18,,,,2020-40-17 15:40,2020-40-17 15:40,5/17/2020,,,0,0,2,0,95.36%,191,98.05%,6900,56,Kingler,,0,94.55%,224,98.24%,146400,188,Kingler,,0
Krabby,,98,?,1166,82,7,1,13,46.7,29,29,,,,2020-39-17 15:39,2020-39-17 15:39,5/17/2020,,,0,0,1,0,46.08%,2209,87.97%,160000,190,Krabby,,0,56.87%,1767,96.24%,96000,152,Kingler,,0
Krabby,,98,?,649,59,11,15,13,86.7,15,15,,,,3/4/2020 20:03,3/4/2020 20:03,5/4/2020,,,0,0,1,0,99.12%,37,98.48%,226400,238,Krabby,,0,82.22%,729,97.32%,130400,168,Kingler,,0
Electrode,,101,,1427,109,15,14,13,93.3,24,24,Volt Switch,Thunderbolt,,2020-53-26 07:53,2020-53-26 07:53,4/3/2020,68.11kg,1.23m,0,0,3,3500,47.79%,2139,94.45%,7000,6,Electrode,,0,99.58%,18,97.98%,201000,226,Electrode,,0
Exeggcute,,102,?,720,107,5,4,6,33.3,25,25,,,,2020-17-19 23:17,2020-17-19 23:17,5/2/2020,1.66kg,0.34m,0,2,4,3600,19.24%,3308,80.17%,174600,210,Exeggcute,,2,43.71%,2306,95.68%,76500,123,Exeggutor,Normal,2
Exeggcute,,102,?,874,117,9,12,11,71.1,28,28,,,,2020-54-07 16:54,2020-54-07 16:54,5/7/2020,,,0,0,1,0,87.55%,511,90.96%,169000,198,Exeggcute,,0,76.53%,962,96.96%,24000,70,Exeggutor,Normal,0
Exeggcute,,102,?,789,117,1,4,11,35.6,28,28,,,,2020-22-01 19:22,2020-22-01 19:22,5/1/2020,,,0,0,1,0,17.07%,3397,79.74%,169000,198,Exeggcute,,0,78.85%,867,97.08%,67000,114,Exeggutor,Normal,0
Exeggutor,Normal,103,?,1690,135,13,15,10,84.4,20,20,,,,2020-38-04 18:38,2020-38-04 18:38,5/4/2020,,,0,0,1,0,,,,,,,,,56.02%,1802,96.14%,70000,62,Exeggutor,Normal,0
Exeggutor,Alola,103,?,1258,116,14,12,9,77.8,15,15,Bullet Seed,Solar Beam,,2020-50-01 21:50,2020-50-01 21:50,4/17/2020,,,0,0,0,0,14.58%,3499,92.93%,9800,10,Exeggutor,Alola,0,20.88%,3241,94.87%,91400,82,Exeggutor,Alola,0
Exeggutor,Alola,103,?,1265,119,10,15,15,88.9,15,15,Dragon Tail,Dragon Pulse,,2020-25-01 19:25,2020-25-01 19:25,5/1/2020,,,0,0,0,0,76.09%,980,96.05%,9800,10,Exeggutor,Alola,0,81.39%,763,97.34%,91400,82,Exeggutor,Alola,0
Exeggutor,Alola,103,?,1261,116,14,12,10,80,15,15,Dragon Tail,Solar Beam,,2020-40-29 12:40,2020-40-29 12:40,4/21/2020,,,0,0,0,0,26.62%,3006,93.68%,9800,10,Exeggutor,Alola,0,20.88%,3241,94.87%,91400,82,Exeggutor,Alola,0
Exeggutor,Normal,103,?,1491,131,6,1,10,37.8,19,19,Extrasensory,Solar Beam,,2020-30-28 14:30,2020-30-28 14:30,3/29/2020,99.86kg,1.76m,0,0,0,2500,62.27%,1546,95.21%,0,0,Exeggutor,Normal,0,49.30%,2077,95.89%,121000,110,Exeggutor,Normal,0
Exeggutor,Normal,103,?,1478,129,6,13,13,71.1,18,18,Confusion,Seed Bomb,,2020-52-26 07:52,2020-52-26 07:52,3/16/2020,158.93kg,2.35m,0,0,0,2200,76.41%,967,95.93%,0,0,Exeggutor,Normal,0,,,,,,,,
Exeggutor,Normal,103,?,1494,130,8,13,14,77.8,18,18,Extrasensory,Solar Beam,,2020-50-26 07:50,2020-50-26 07:50,4/13/2020,80.83kg,1.7m,0,0,0,2200,94.97%,207,97.49%,0,0,Exeggutor,Normal,0,,,,,,,,
Exeggutor,Normal,103,?,2397,164,8,13,12,73.3,29,29,Bullet Seed,Seed Bomb,,2020-47-26 07:47,2020-47-26 07:47,4/12/2020,61.96kg,1.55m,0,0,3,5000,,,,,,,,,90.16%,404,97.74%,15000,12,Exeggutor,Normal,0
Exeggutor,Normal,103,?,2125,154,5,5,7,37.8,27,27,Confusion,Seed Bomb,,6/25/2020 23:06,6/25/2020 23:06,4/12/2020,114.8kg,1.98m,0,0,0,4500,,,,,,,,,60.37%,1624,96.31%,69000,64,Exeggutor,Normal,0
Exeggutor,Alola,103,?,1251,119,11,10,15,80,15,15,Dragon Tail,Seed Bomb,,2020-53-24 21:53,2020-53-24 21:53,4/24/2020,,,0,0,0,0,24.52%,3092,93.58%,9800,10,Exeggutor,Alola,0,20.02%,3276,94.84%,91400,82,Exeggutor,Alola,0
Marowak,Normal,105,?,1028,100,14,12,13,86.7,20,20,Mud-Slap,Bone Club,,2020-58-26 07:58,2020-58-26 07:58,3/16/2020,36.45kg,0.82m,0,0,0,2500,28.55%,2927,93.75%,65000,58,Marowak,Normal,0,98.29%,71,96.43%,225000,248,Marowak,Normal,0
Hitmonchan,,107,?,964,76,12,13,10,77.8,15,15,Counter,Ice Punch,,1/4/2020 20:01,1/4/2020 20:01,5/4/2020,,,0,0,4,0,41.86%,2382,94.63%,38400,36,Hitmonchan,,0,93.48%,268,94.37%,246400,268,Hitmonchan,,0
Hitmonchan,,107,?,1314,88,15,15,11,91.1,20,20,Counter,Power-Up Punch,,2020-32-28 14:32,2020-32-28 14:32,4/15/2020,69.53kg,1.67m,0,0,0,2500,24.93%,3075,93.81%,14000,13,Hitmonchan,,0,98.34%,69,96.67%,225000,248,Hitmonchan,,0
Lickitung,,108,?,730,127,7,11,7,55.6,20,20,Lick,Stomp,,2020-42-28 19:42,2020-42-28 19:42,1/27/2020,91.55kg,1.4m,0,0,0,2500,37.80%,2548,94.26%,14000,113,Lickilicky,,0,61.51%,1577,90.28%,225000,348,Lickilicky,,0
Weezing,Normal,110,?,1398,109,11,15,12,84.4,22,22,Infestation,Dark Pulse,,2020-53-26 07:53,2020-53-26 07:53,3/2/2020,8.23kg,1.15m,0,0,0,3000,79.73%,831,96.16%,9500,9,Weezing,Normal,0,97.61%,99,96.49%,214000,238,Weezing,Normal,0
Rhyhorn,,111,?,1084,132,10,14,12,80,24,24,Mud-Slap,Bulldoze,,2020-33-05 13:33,2020-33-05 13:33,5/5/2020,130.55kg,0.97m,0,0,1,3500,,,,,,,,,88.42%,475,97.16%,0,125,Rhyperior,,0
Rhyhorn,,111,?,1134,130,15,11,5,68.9,25,25,Rock Smash,Stomp,,2020-34-28 19:34,2020-34-28 19:34,2/27/2020,131.35kg,1.05m,0,0,1,4000,42.95%,2337,93.22%,122000,122,Rhyhorn,,0,7.62%,3784,93.56%,25000,47,Rhydon,,0
Rhydon,,112,?,1511,134,12,14,12,84.4,17,17,Mud-Slap,Stone Edge,,2020-46-28 19:46,2020-46-28 19:46,1/16/2020,178.19kg,2.19m,0,0,1,2200,,,,,,,,,72.31%,1135,96.69%,69800,62,Rhydon,,0
Chansey,,113,?,843,351,4,12,10,57.8,28,28,,,,2020-37-07 10:37,2020-37-07 10:37,5/7/2020,,,0,0,0,0,43.83%,2301,82.70%,169000,198,Chansey,,0,96.90%,128,98.46%,159000,233,Blissey,,0
Chansey,,113,?,728,316,7,14,7,62.2,23,23,,,,2020-34-05 13:34,2020-34-05 13:34,5/5/2020,,,0,0,0,0,67.23%,1343,87.36%,208000,232,Chansey,,0,81.90%,742,96.88%,161000,216,Blissey,,0
Chansey,,113,?,515,258,13,11,13,82.2,15,15,,,,2020-33-04 11:33,2020-33-04 11:33,5/4/2020,,,0,0,4,0,52.19%,1959,94.82%,18900,68,Blissey,,0,48.35%,2116,95.08%,158400,200,Blissey,,0
Chansey,,113,?,815,354,2,10,15,60,28,28,,,,2020-22-03 20:22,2020-22-03 20:22,5/3/2020,,,0,0,0,0,29.06%,2906,79.78%,169000,198,Chansey,,0,92.48%,309,97.81%,169000,248,Blissey,,0
Chansey,,113,?,923,344,14,7,10,68.9,27,27,Pound,Hyper Beam,,2020-57-02 22:57,2020-57-02 22:57,5/2/2020,,,0,0,0,0,88.08%,489,92.21%,178000,206,Chansey,,0,26.69%,3003,94.09%,98000,148,Blissey,,0
Chansey,,113,?,962,365,7,9,5,46.7,32,32,Zen Headbutt,Hyper Beam,,2020-52-01 12:52,2020-52-01 12:52,4/26/2020,63.52kg,1.45m,0,0,1,6000,49.67%,2062,83.86%,128000,162,Chansey,,0,84.35%,642,97.07%,108000,182,Blissey,,0
Chansey,,113,?,688,292,13,15,2,66.7,20,20,Pound,Hyper Beam,,2020-36-22 12:36,2020-36-22 12:36,4/22/2020,,,0,0,1,0,95.19%,198,94.88%,225000,248,Chansey,,0,50.79%,2016,95.18%,137000,180,Blissey,,0
Chansey,,113,?,806,337,7,8,8,51.1,26,26,Zen Headbutt,Hyper Beam,,2020-25-14 02:25,2020-25-14 02:25,4/14/2020,,,0,0,0,0,49.94%,2051,83.89%,186000,214,Chansey,,0,83.49%,677,97.01%,166000,234,Blissey,,0
Chansey,,113,?,770,321,9,10,5,53.3,24,24,Zen Headbutt,Psychic,,2020-37-10 16:37,2020-37-10 16:37,4/10/2020,45.66kg,1.25m,0,0,0,3500,65.45%,1416,86.99%,201000,226,Chansey,,0,60.85%,1604,95.66%,154000,210,Blissey,,0
Tangela,,114,?,1252,105,13,12,14,86.7,20,20,,,,2020-32-15 20:32,2020-32-15 20:32,5/15/2020,,,0,0,1,0,21.64%,3210,93.25%,20500,19,Tangela,,0,13.14%,3558,94.55%,65000,158,Tangrowth,,0
Tangela,,114,?,951,91,15,13,14,93.3,15,15,Vine Whip,Solar Beam,,2020-22-04 11:22,2020-22-04 11:22,5/4/2020,,,0,0,2,0,50.87%,2013,94.72%,41900,39,Tangela,,0,41.34%,2403,95.90%,86400,178,Tangrowth,,0
Tangela,,114,?,1225,105,10,11,13,75.6,20,20,Infestation,Solar Beam,,6/2/2020 23:06,6/2/2020 23:06,5/2/2020,,,0,0,1,0,37.12%,2576,94.08%,24000,22,Tangela,,0,19.93%,3280,94.94%,70000,162,Tangrowth,,0
Tangela,,114,?,949,91,14,14,14,93.3,15,15,Vine Whip,Solar Beam,,1/26/2020 8:01,1/26/2020 8:01,4/13/2020,,,0,0,0,0,51.79%,1975,94.76%,41900,39,Tangela,,0,42.52%,2355,95.95%,86400,178,Tangrowth,,0
Horsea,,116,?,736,73,12,2,2,35.6,28,28,,,,2020-40-17 15:40,2020-40-17 15:40,5/17/2020,,,0,0,1,0,18.49%,3339,77.66%,169000,198,Horsea,,0,20.44%,3259,91.23%,169000,323,Kingdra,,0
Horsea,,116,?,498,65,13,0,14,60,18,18,,,,3/6/2020 22:03,3/6/2020 22:03,5/6/2020,,,0,0,1,0,42.76%,2345,94.40%,52400,71,Seadra,,0,69.94%,1232,95.72%,224400,366,Kingdra,,0
Seadra,,117,?,27,15,8,8,15,68.9,1,1,,,,2020-54-25 22:54,2020-54-25 22:54,3/1/2020,,,0,0,0,0,87.69%,505,96.76%,88000,94,Seadra,,0,95.63%,180,97.90%,260000,389,Kingdra,,0
Goldeen,,118,?,239,51,8,12,10,66.7,8,8,Peck,Aqua Tail,,2020-54-28 19:54,2020-54-28 19:54,1/12/2020,9.8kg,0.42m,0,0,0,800,58.46%,1702,95.12%,73600,123,Seaking,,0,84.22%,647,92.20%,263600,340,Seaking,,0
Starmie,,121,,1090,86,14,13,13,88.9,15,15,Hidden Power,Hydro Pump,,2020-56-02 11:56,2020-56-02 11:56,5/2/2020,,,0,0,0,0,63.49%,1496,95.55%,23900,22,Starmie,,0,95.26%,195,97.76%,217400,226,Starmie,,0
Scyther,,123,?,1498,107,9,13,6,62.2,20.5,20.5,Fury Cutter,Night Slash,,2020-29-10 09:29,2020-29-10 09:29,3/14/2020,,,0,0,0,0,81.61%,754,96.58%,0,0,Scyther,,0,,,,,,,,
Jynx,,124,?,549,64,15,6,8,64.4,8,8,Frost Breath,Focus Blast,,2020-16-29 11:16,2020-16-29 11:16,1/24/2020,69kg,1.77m,0,0,0,800,29.82%,2875,93.88%,46600,49,Jynx,,0,73.53%,1085,93.43%,263600,290,Jynx,,0
Electabuzz,,125,?,1301,105,11,15,13,86.7,20,20,Thunder Shock,Thunder Punch,,2020-30-09 04:30,2020-30-09 04:30,5/8/2020,24.46kg,1.01m,0,0,1,2500,86.15%,568,97.07%,17000,16,Electabuzz,,0,89.69%,423,97.72%,65000,158,Electivire,,0
Electabuzz,,125,?,974,92,10,14,15,86.7,15,15,Low Kick,Thunder,,2020-57-02 22:57,2020-57-02 22:57,5/2/2020,18.68kg,0.92m,0,0,1,1900,93.31%,275,97.76%,38400,36,Electabuzz,,0,94.82%,213,98.19%,86400,178,Electivire,,0
Electabuzz,,125,?,1081,95,0,14,5,42.2,18,18,Low Kick,Thunder Punch,,2020-57-02 22:57,2020-57-02 22:57,5/2/2020,,,0,0,2,0,94.68%,219,97.21%,2200,102,Electivire,,0,98.24%,73,98.76%,106400,194,Electivire,,0
Electabuzz,,125,?,877,86,5,15,10,66.7,14,14,Thunder Shock,Thunderbolt,,11/28/2020 19:11,11/28/2020 19:11,3/19/2020,28.81kg,1.04m,0,0,4,1600,74.29%,1054,96.33%,45100,43,Electabuzz,,0,62.71%,1528,96.41%,94600,186,Electivire,,0
Magmar,,126,?,848,79,15,11,3,64.4,13,13,Ember,Fire Punch,,2020-40-28 19:40,2020-40-28 19:40,1/29/2020,17.65kg,1.03m,0,0,0,1600,3.22%,3964,91.56%,41800,41,Magmar,,0,21.00%,3236,94.48%,92800,186,Magmortar,,0
Pinsir,,127,?,1641,103,11,14,11,80,20,20,Fury Cutter,Vise Grip,,2020-19-09 16:19,2020-19-09 16:19,5/9/2020,,,0,0,1,0,,,,,,,,,47.23%,2162,95.94%,80000,70,Pinsir,,0
Pinsir,,127,?,2346,125,14,4,11,64.4,29,29,Rock Smash,X-Scissor,,2020-35-07 15:35,2020-35-07 15:35,5/2/2020,,,0,0,0,0,,,,,,,,,11.31%,3633,94.40%,26000,22,Pinsir,,0
Pinsir,,127,?,1487,100,6,6,9,46.7,19,19,Fury Cutter,Superpower,,2020-27-03 20:27,2020-27-03 20:27,5/3/2020,70.65kg,1.72m,0,0,0,2500,76.85%,949,95.96%,0,0,Pinsir,,0,52.77%,1935,96.14%,121000,110,Pinsir,,0
Pinsir,,127,?,2523,128,11,7,9,60,33,33,Bug Bite,Vise Grip,,2020-25-03 20:25,2020-25-03 20:25,5/3/2020,,,0,0,1,0,,,,,,,,,,,,,,,,
Pinsir,,127,?,2131,118,6,0,5,24.4,28,28,Rock Smash,Vise Grip,,8/2/2020 23:08,8/2/2020 23:08,5/2/2020,,,0,0,0,0,,,,,,,,,28.60%,2925,95.25%,89000,90,Pinsir,,0
Pinsir,,127,?,2090,116,15,14,12,91.1,25,25,Fury Cutter,Superpower,,2020-56-02 11:56,2020-56-02 11:56,5/2/2020,,,0,0,0,0,,,,,,,,,10.21%,3678,94.32%,39000,34,Pinsir,,0
Pinsir,,127,?,1490,96,13,4,2,42.2,19,19,Bug Bite,X-Scissor,,2020-22-01 19:22,2020-22-01 19:22,5/1/2020,,,0,0,0,0,30.21%,2859,93.76%,0,0,Pinsir,,0,6.64%,3824,94.05%,121000,110,Pinsir,,0
Pinsir,,127,?,2364,123,4,15,6,55.6,30,30,Rock Smash,Superpower,,2020-47-26 07:47,2020-47-26 07:47,3/29/2020,65.6kg,1.63m,0,0,0,5000,,,,,,,,,70.74%,1199,96.82%,34000,32,Pinsir,,0
Pinsir,,127,?,1786,105,14,11,6,68.9,22,22,Fury Cutter,X-Scissor,,11/28/2020 19:11,11/28/2020 19:11,3/19/2020,46.07kg,1.32m,0,0,0,3000,,,,,,,,,39.46%,2480,95.66%,80000,70,Pinsir,,0
Tauros,,128,?,1834,128,9,11,7,60,26,26,Tackle,Horn Attack,,11/17/2020 9:11,11/17/2020 9:11,4/6/2020,,,0,0,0,0,,,,,,,,,73.75%,1076,96.02%,186000,214,Tauros,,0
Tauros,,128,?,1489,115,13,12,10,77.8,20.5,20.5,Zen Headbutt,Earthquake,,2020-48-10 13:48,2020-48-10 13:48,3/19/2020,70.35kg,1.25m,0,0,0,0,54.26%,1874,95.11%,0,0,Tauros,,0,,,,,,,,
Tauros,,128,?,1891,133,5,1,8,31.1,28,28,Zen Headbutt,Horn Attack,,2020-46-10 13:46,2020-46-10 13:46,5/5/2020,,,0,0,0,0,,,,,,,,,15.90%,3445,89.91%,169000,198,Tauros,,0
Tauros,,128,?,1220,107,10,9,14,73.3,17,17,Tackle,Earthquake,,2020-46-10 13:46,2020-46-10 13:46,4/28/2020,51.01kg,1.05m,0,0,1,2200,28.03%,2948,93.92%,16300,14,Tauros,,0,95.43%,188,98.01%,228800,245,Tauros,,0
Tauros,,128,?,1450,115,12,11,12,77.8,20,20,Zen Headbutt,Iron Head,,2020-46-10 13:46,2020-46-10 13:46,4/19/2020,,,0,0,3,0,51.79%,1975,94.99%,2500,2,Tauros,,0,,,,,,,,
