Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
500,Rattata,Alola,19,♀,587,81,11,9,8,62.2,32.0,32.0,,,,"2020-10-04 16:28","2020-10-04 16:28",10/4/2020,,,0,0,1,0,47.47%,2152,94.31%,48000,79,Raticate,Alola,0,76.95%,945,90.83%,128000,187,Raticate,Alola,0,,,,,,,,,
501,Mareep,,179,♀,535,90,13,13,6,71.1,20.0,20.0,,,,"2020-10-04 16:28","2020-10-04 16:28",10/4/2020,,,0,0,1,0,90.01%,410,94.30%,225000,273,Flaaffy,,0,47.55%,2149,96.13%,116000,231,Ampharos,Normal,0,,,,,,,,,
502,Mareep,,179,♂,408,87,4,3,13,44.4,17.0,17.0,,,,"2020-10-04 16:28","2020-10-04 16:28",10/4/2020,,,0,0,1,0,85.13%,610,97.04%,13800,137,Ampharos,Normal,0,85.59%,591,97.76%,182800,307,Ampharos,Normal,0,61.17%,1591,92.55%,16300,14,Mareep,,0,
503,Roselia,,315,♂,1730,115,15,14,15,97.8,35.0,35.0,Poison Jab,Petal Blizzard,,"2020-10-04 02:14","2020-10-04 02:14",10/4/2020,,,0,0,1,0,,,,,,,,,99.95%,3,99.32%,88000,118,Roselia,,0,,,,,,,,,
504,Lillipup,,506,♂,735,102,5,12,7,53.3,34.0,34.0,,,,"2020-10-04 00:20","2020-10-04 00:20",10/4/2020,,,0,0,1,0,61.37%,1583,93.06%,102000,159,Herdier,,0,78.19%,894,97.05%,38000,171,Stoutland,,0,,,,,,,,,
505,Aron,,304,♀,604,83,5,11,10,57.8,18.0,18.0,,,,"2020-10-04 00:20","2020-10-04 00:20",10/4/2020,,,0,0,2,0,72.36%,1133,95.96%,2200,127,Aggron,,0,,,,,,,,,,,,,,,,,G
506,Roselia,,315,♀,1608,109,12,12,9,73.3,33.0,33.0,,,,"2020-10-04 00:20","2020-10-04 00:20",10/3/2020,,,0,0,1,0,,,,,,,,,89.60%,427,92.46%,116000,150,Roselia,,0,,,,,,,,,
507,Ralts,,280,♂,359,70,8,14,2,53.3,27.0,27.0,,,,"2020-10-04 00:19","2020-10-04 00:19",10/3/2020,,,0,0,1,0,64.57%,1452,84.69%,178000,231,Kirlia,,0,64.74%,1445,96.64%,33000,153,Gardevoir,,0,66.86%,1358,86.59%,178000,206,Ralts,,0,
508,Buneary,,427,♀,867,105,3,3,1,15.6,29.0,29.0,,,,"2020-09-30 20:51","2020-09-30 20:51",9/30/2020,,,0,0,2,0,24.25%,3103,93.13%,0,50,Lopunny,Normal,0,2.42%,3997,80.76%,160000,240,Lopunny,Normal,0,,,,,,,,,
509,Zapdos,,145,,1985,132,11,15,15,91.1,20.0,20.0,Thunder Shock,Thunderbolt,,"2020-09-30 20:47","2020-09-30 20:47",9/30/2020,,,0,0,0,0,,,,,,,,,84.71%,627,97.46%,31000,28,Zapdos,,0,,,,,,,,,
510,Diglett,Normal,50,♀,565,61,5,14,15,75.6,34.0,34.0,,,,"2020-09-30 00:36","2020-09-30 00:36",9/30/2020,,,0,0,1,0,98.58%,59,98.20%,102000,184,Dugtrio,Normal,0,94.80%,214,93.88%,102000,184,Dugtrio,Normal,0,,,,,,,,,
511,Venusaur,Normal,3,♂,1297,115,3,10,13,57.8,18.0,18.0,Vine Whip,Solar Beam,,"2020-09-30 00:36","2020-09-30 00:36",9/28/2020,,,0,0,1,0,77.70%,914,96.35%,11900,10,Venusaur,Normal,0,93.36%,273,97.91%,214400,226,Venusaur,Normal,0,,,,,,,,,
512,Hariyama,,297,♂,2100,223,6,7,14,60.0,28.0,28.0,Counter,Superpower,,"2020-09-27 23:46","2020-09-27 23:46",9/27/2020,,,0,0,1,0,,,,,,,,,73.41%,1090,96.76%,105000,110,Hariyama,,0,,,,,,,,,
513,Mantine,,226,♂,1524,123,7,8,15,66.7,27.0,27.0,Bubble,Aerial Ace,,"2020-09-27 23:45","2020-09-27 23:45",9/27/2020,,,0,0,1,0,,,,,,,,,81.61%,754,92.33%,178000,206,Mantine,,0,,,,,,,,,
514,Wailmer,,320,♀,918,183,7,12,4,51.1,24.0,24.0,,,,"2020-09-27 09:18","2020-09-27 09:18",9/27/2020,,,0,0,2,0,67.01%,1352,95.23%,3500,403,Wailord,,0,,,,,,,,,,,,,,,,,G
515,Zubat,,41,♀,346,78,11,8,12,68.9,20.0,20.0,,,,"2020-09-27 09:16","2020-09-27 09:16",9/27/2020,,,0,0,2,0,50.18%,2041,94.86%,2500,127,Crobat,,0,,,,,,,,,,,,,,,,,G
516,Hitmonlee,,106,♂,1384,88,0,8,7,33.3,21.0,21.0,Low Kick,Stone Edge,,"2020-09-26 21:42","2020-09-26 21:42",9/26/2020,,,0,0,3,0,85.57%,592,96.83%,9000,9,Hitmonlee,,0,22.37%,3180,88.05%,220000,244,Hitmonlee,,0,,,,,,,,,
517,Hariyama,,297,♂,2219,230,6,4,13,51.1,30.0,30.0,,,,"2020-09-26 21:42","2020-09-26 21:42",9/26/2020,,,0,0,1,0,,,,,,,,,60.68%,1611,96.17%,103000,116,Hariyama,,0,,,,,,,,,
518,Spinarak,,167,♀,650,94,9,5,4,40.0,35.0,35.0,,,,"2020-09-26 10:19","2020-09-26 10:19",9/26/2020,,,0,0,2,0,26.06%,3029,93.86%,8000,60,Ariados,,0,,,,,,,,,,,,,,,,,G
519,Hitmonchan,,107,♂,1342,88,13,13,7,73.3,21.0,21.0,Counter,Thunder Punch,,"2020-09-25 09:01","2020-09-25 09:01",9/25/2020,,,0,0,1,0,13.92%,3526,93.07%,12000,12,Hitmonchan,,0,84.49%,636,92.38%,220000,244,Hitmonchan,,0,,,,,,,,,
520,Grimer,Alola,88,♂,754,119,13,12,10,77.8,20.0,20.0,,,,"2020-09-22 13:31","2020-09-22 13:31",9/22/2020,,,0,0,1,0,94.65%,220,93.48%,225000,248,Grimer,Alola,0,49.87%,2054,95.62%,137000,180,Muk,Alola,0,,,,,,,,,
521,Pidgeot,Normal,18,♀,1475,139,11,13,14,84.4,25.0,25.0,Steel Wing,Brave Bird,,"2020-09-20 17:29","2020-09-20 17:29",9/20/2020,,,0,0,5,0,37.85%,2546,94.08%,0,0,Pidgeot,Normal,0,,,,,,,,,,,,,,,,,G
522,Dwebble,,557,♂,683,87,14,15,10,86.7,20.0,20.0,,,,"2020-09-20 16:59","2020-09-20 16:58",9/20/2020,14.37kg,0.3m,0,0,2,2500,70.43%,1212,96.03%,5000,54,Crustle,,0,,,,,,,,,,,,,,,,,G
523,Deino,,633,♂,564,91,10,10,12,71.1,20.0,20.0,,,,"2020-09-20 16:58","2020-09-20 16:58",9/20/2020,,,0,0,1,0,54.75%,1854,95.17%,75000,91,Zweilous,,0,76.21%,975,96.74%,31000,153,Hydreigon,,0,,,,,,,,,
524,Porygon,,137,,1440,132,12,4,15,68.9,32.0,32.0,,,,"2020-09-20 16:58","2020-09-20 16:58",9/20/2020,,,0,0,0,0,51.01%,2007,94.72%,33000,36,Porygon,,0,43.15%,2329,94.95%,72000,109,Porygon2,,0,,,,,,,,,
525,Porygon,,137,,836,99,9,11,13,73.3,18.0,18.0,,,,"2020-09-20 16:58","2020-09-20 16:58",9/20/2020,,,0,0,0,0,77.12%,938,96.20%,139400,130,Porygon,,0,78.27%,891,96.56%,178400,203,Porygon2,,0,,,,,,,,,
526,Porygon,,137,,1435,132,5,5,11,46.7,35.0,35.0,,,,"2020-09-20 16:58","2020-09-20 16:58",9/20/2020,,,0,0,0,0,67.47%,1333,95.60%,41000,52,Porygon,,0,85.15%,609,97.00%,88000,143,Porygon2,,0,,,,,,,,,
527,Porygon2,,233,,1316,119,4,15,13,71.1,18.0,18.0,Charge Beam,Solar Beam,,"2020-09-20 16:42","2020-09-20 16:37",9/20/2020,,,0,0,3,0,99.32%,29,98.81%,11900,10,Porygon2,,0,,,,,,,,,,,,,,,,,G
528,Porygon,,137,,1487,127,15,13,9,82.2,32.0,32.0,,,,"2020-09-20 16:38","2020-09-20 16:38",9/20/2020,,,0,0,0,0,42.98%,2336,94.31%,6000,6,Porygon,,0,47.74%,2141,95.15%,48000,79,Porygon2,,0,,,,,,,,,
529,Porygon,,137,,1097,108,15,13,7,77.8,23.0,23.0,,,,"2020-09-20 16:37","2020-09-20 16:37",9/20/2020,,,0,0,0,0,15.97%,3442,92.83%,86000,76,Porygon,,0,50.60%,2024,95.27%,136000,159,Porygon2,,0,,,,,,,,,
530,Porygon,,137,,1300,119,15,6,6,60.0,28.0,28.0,,,,"2020-09-20 16:37","2020-09-20 16:37",9/20/2020,,,0,0,2,0,,,,,,,,,22.83%,3161,94.76%,0,125,Porygon-Z,,0,,,,,,,,,U
531,Porygon,,137,,1404,129,9,9,12,66.7,31.0,31.0,,,,"2020-09-20 16:37","2020-09-20 16:37",9/20/2020,,,0,0,0,0,68.03%,1310,95.63%,52000,56,Porygon,,0,60.24%,1629,95.68%,93000,133,Porygon2,,0,,,,,,,,,
532,Porygon,,137,,899,102,6,11,8,55.6,20.0,20.0,,,,"2020-09-20 16:37","2020-09-20 16:37",9/20/2020,,,0,0,0,0,61.25%,1588,95.43%,2500,27,Porygon2,,0,,,,,,,,,,,,,,,,,G
533,Porygon,,137,,1453,129,11,4,9,53.3,34.0,34.0,,,,"2020-09-20 16:37","2020-09-20 16:36",9/20/2020,,,0,0,0,0,26.98%,2991,93.48%,30000,36,Porygon,,0,40.66%,2431,94.85%,73000,117,Porygon2,,0,,,,,,,,,
534,Porygon,,137,,1264,122,13,6,13,71.1,27.0,27.0,,,,"2020-09-20 16:36","2020-09-20 16:36",9/20/2020,,,0,0,2,0,,,,,,,,,15.04%,3480,94.33%,4500,129,Porygon-Z,,0,,,,,,,,,U
535,Porygon,,137,,1470,125,14,14,6,75.6,32.0,32.0,,,,"2020-09-20 16:36","2020-09-20 16:36",9/20/2020,,,0,0,0,0,29.67%,2881,93.64%,12000,12,Porygon,,0,37.56%,2558,94.70%,56000,89,Porygon2,,0,,,,,,,,,
536,Porygon,,137,,1477,134,7,11,15,73.3,34.0,34.0,,,,"2020-09-20 16:36","2020-09-20 16:36",9/20/2020,,,0,0,0,0,80.44%,802,96.44%,7000,8,Porygon,,0,91.04%,368,97.53%,55000,93,Porygon2,,0,,,,,,,,,
537,Porygon,,137,,1086,111,4,8,4,35.6,25.0,25.0,,,,"2020-09-20 16:36","2020-09-20 16:36",9/20/2020,,,0,0,0,0,77.46%,924,96.23%,174000,190,Porygon,,0,58.34%,1707,96.15%,34000,155,Porygon-Z,,0,,,,,,,,,
538,Porygon,,137,,1294,122,9,11,11,68.9,28.0,28.0,,,,"2020-09-20 16:36","2020-09-20 16:36",9/20/2020,,,0,0,1,0,65.27%,1423,95.48%,74000,72,Porygon,,0,80.49%,800,96.69%,122000,157,Porygon2,,0,,,,,,,,,
539,Porygon,,137,,1323,122,11,7,7,55.6,29.0,29.0,,,,"2020-09-20 16:35","2020-09-20 16:35",9/20/2020,,,0,0,1,0,24.25%,3103,93.32%,80000,82,Porygon,,0,33.36%,2730,94.50%,122000,161,Porygon2,,0,,,,,,,,,
540,Porygon,,137,,1454,128,13,9,10,71.1,32.0,32.0,,,,"2020-09-20 16:35","2020-09-20 16:35",9/20/2020,,,0,0,0,0,28.50%,2929,93.57%,19000,20,Porygon,,0,58.68%,1693,95.61%,72000,109,Porygon2,,0,,,,,,,,,
541,Porygon,,137,,1047,112,4,14,13,68.9,23.0,23.0,,,,"2020-09-20 16:35","2020-09-20 16:35",9/20/2020,,,0,0,0,0,90.99%,370,97.34%,128000,124,Porygon,,0,98.95%,44,99.02%,39000,159,Porygon-Z,,0,,,,,,,,,
542,Porygon,,137,,1437,126,10,6,5,46.7,34.0,34.0,,,,"2020-09-20 16:05","2020-09-20 16:05",9/20/2020,,,0,0,0,0,27.35%,2976,93.50%,38000,46,Porygon,,0,42.59%,2352,94.92%,82000,129,Porygon2,,0,,,,,,,,,
543,Porygon,,137,,1442,126,10,7,5,48.9,34.0,34.0,,,,"2020-09-20 16:05","2020-09-20 16:05",9/20/2020,,,0,0,0,0,40.46%,2439,94.16%,38000,46,Porygon,,0,54.46%,1866,95.43%,82000,129,Porygon2,,0,,,,,,,,,
544,Porygon,,137,,1521,133,10,15,14,86.7,34.0,34.0,,,,"2020-09-20 16:04","2020-09-20 16:04",9/20/2020,,,0,0,0,0,,,,,,,,,84.91%,619,96.99%,30000,61,Porygon2,,0,,,,,,,,,
545,Porygon,,137,,944,104,7,9,8,53.3,21.0,21.0,,,,"2020-09-20 15:54","2020-09-20 15:54",9/20/2020,,,0,0,0,0,60.17%,1632,95.18%,156000,156,Porygon,,0,,,,,,,,,,,,,,,,,G
546,Porygon,,137,,1330,122,13,5,7,55.6,29.0,29.0,,,,"2020-09-20 15:52","2020-09-20 15:51",9/20/2020,,,0,0,1,0,11.01%,3645,92.42%,72000,72,Porygon,,0,30.82%,2834,94.39%,122000,161,Porygon2,,0,,,,,,,,,
547,Porygon,,137,,846,100,9,2,9,44.4,19.0,19.0,,,,"2020-09-20 15:51","2020-09-20 15:51",9/20/2020,,,0,0,0,0,20.66%,3250,93.11%,174000,174,Porygon,,0,54.82%,1851,95.45%,220000,262,Porygon2,,0,,,,,,,,,
548,Porygon,,137,,877,103,4,5,11,44.4,20.0,20.0,,,,"2020-09-20 15:51","2020-09-20 15:51",9/20/2020,,,0,0,0,0,73.36%,1092,96.03%,5000,29,Porygon2,,0,,,,,,,,,,,,,,,,,G
549,Porygon,,137,,1181,122,0,10,13,51.1,27.0,27.0,,,,"2020-09-20 15:51","2020-09-20 15:51",9/20/2020,,,0,0,2,0,,,,,,,,,87.30%,521,97.51%,13500,137,Porygon-Z,,0,,,,,,,,,U
550,Porygon,,137,,1166,117,9,4,9,48.9,26.0,26.0,,,,"2020-09-20 15:51","2020-09-20 15:51",9/20/2020,,,0,0,0,0,31.92%,2789,93.75%,122000,126,Porygon,,0,49.47%,2070,95.21%,166000,209,Porygon2,,0,,,,,,,,,
551,Porygon,,137,,1393,128,6,9,10,55.6,32.0,32.0,,,,"2020-09-20 15:51","2020-09-20 15:51",9/20/2020,,,0,0,0,0,74.63%,1040,96.02%,64000,74,Porygon,,0,84.81%,623,96.98%,108000,157,Porygon2,,0,,,,,,,,,
552,Porygon,,137,,946,104,13,10,12,77.8,20.0,20.0,,,,"2020-09-20 15:50","2020-09-20 15:50",9/20/2020,,,0,0,1,0,40.98%,2418,94.19%,109000,98,Porygon,,0,73.21%,1098,96.75%,51500,171,Porygon-Z,,0,,,,,,,,,
553,Porygon,,137,,1460,129,14,4,10,62.2,33.0,33.0,,,,"2020-09-20 15:02","2020-09-20 15:02",9/20/2020,,,0,0,0,0,19.34%,3304,93.03%,21000,24,Porygon,,0,39.90%,2462,94.81%,69000,109,Porygon2,,0,,,,,,,,,
554,Porygon,,137,,1420,125,11,13,7,68.9,31.0,31.0,,,,"2020-09-20 15:01","2020-09-20 15:01",9/20/2020,,,0,0,0,0,42.37%,2361,94.27%,38000,40,Porygon,,0,55.92%,1806,95.50%,84000,121,Porygon2,,0,,,,,,,,,
555,Porygon,,137,,1457,129,6,11,7,53.3,35.0,35.0,,,,"2020-09-20 15:01","2020-09-20 15:01",9/20/2020,,,0,0,0,0,59.68%,1652,95.15%,24000,30,Porygon,,0,71.45%,1170,96.20%,68000,113,Porygon2,,0,,,,,,,,,
556,Porygon,,137,,1441,129,14,4,11,64.4,32.0,32.0,,,,"2020-09-20 15:01","2020-09-20 15:01",9/20/2020,,,0,0,0,0,31.67%,2799,93.74%,33000,36,Porygon,,0,25.71%,3043,94.10%,72000,109,Porygon2,,0,,,,,,,,,
557,Porygon,,137,,1311,126,4,12,13,64.4,29.0,29.0,,,,"2020-09-20 15:01","2020-09-20 15:01",9/20/2020,,,0,0,1,0,92.65%,302,97.50%,88000,92,Porygon,,0,90.13%,405,97.44%,131000,173,Porygon2,,0,,,,,,,,,
558,Porygon,,137,,911,99,3,13,0,35.6,21.0,21.0,,,,"2020-09-20 15:01","2020-09-20 15:01",9/20/2020,,,0,0,0,0,51.06%,2005,94.98%,0,25,Porygon2,,0,,,,,,,,,,,,,,,,,G
559,Porygon,,137,,824,103,2,3,14,42.2,19.0,19.0,,,,"2020-09-20 15:01","2020-09-20 15:01",9/20/2020,,,0,0,0,0,83.25%,687,96.61%,210000,222,Porygon,,0,75.85%,990,96.87%,70000,187,Porygon-Z,,0,,,,,,,,,
560,Poliwag,,60,♂,311,65,5,4,3,26.7,16.0,16.0,,,,"2020-09-20 15:01","2020-09-20 15:01",9/20/2020,,,0,0,0,0,65.93%,1396,95.47%,31600,154,Poliwrath,,0,9.52%,3706,87.67%,242600,389,Poliwrath,,0,34.95%,2665,91.11%,52600,47,Poliwag,,0,
561,Porygon,,137,,895,96,15,13,3,68.9,19.0,19.0,,,,"2020-09-20 15:00","2020-09-20 15:00",9/20/2020,,,0,0,0,0,53.19%,1918,95.06%,5000,29,Porygon2,,0,26.52%,3010,94.15%,166000,189,Porygon2,,0,,,,,,,,,
562,Tauros,,128,♂,1486,117,15,12,15,93.3,20.0,20.0,Tackle,Iron Head,,"2020-09-20 12:17","2020-08-01 22:07",8/1/2020,,,0,0,5,0,58.12%,1716,95.29%,0,0,Tauros,,0,,,,,,,,,,,,,,,,,G
563,Tauros,,128,♂,1486,116,14,15,14,95.6,20.0,20.0,Zen Headbutt,Earthquake,,"2020-09-20 12:16","2020-04-12 15:43",4/12/2020,111.43kg,1.52m,0,0,5,2500,62.78%,1525,95.48%,0,0,Tauros,,0,,,,,,,,,,,,,,,,,G
564,Tauros,,128,♂,1486,116,12,11,12,77.8,20.5,20.5,Zen Headbutt,Iron Head,,"2020-09-20 12:15","2020-04-19 17:30",4/19/2020,53.07kg,1.15m,0,0,5,0,51.79%,1975,94.99%,0,0,Tauros,,0,,,,,,,,,,,,,,,,,G
565,Aerodactyl,,142,♀,1472,116,13,7,7,60.0,19.5,19.5,Rock Throw,Iron Head,,"2020-09-20 12:14","2020-09-05 20:45",9/5/2020,,,0,0,5,0,12.55%,3582,93.22%,0,0,Aerodactyl,Normal,0,,,,,,,,,,,,,,,,,G
566,Masquerain,,284,♀,1471,114,14,14,5,73.3,23.5,23.5,Air Slash,Air Cutter,,"2020-09-20 12:11","2020-05-17 19:53",5/17/2020,3.41kg,0.77m,0,0,5,0,8.11%,3764,92.16%,0,0,Masquerain,,0,,,,,,,,,,,,,,,,,G
567,Hariyama,,297,♂,1474,179,15,8,7,66.7,19.0,19.0,Counter,Heavy Slam,,"2020-09-20 12:11","2020-05-18 13:37",5/18/2020,340.91kg,2.59m,0,0,5,0,7.91%,3772,92.40%,0,0,Hariyama,,0,,,,,,,,,,,,,,,,,G
568,Primeape,,57,♀,1491,114,15,7,14,80.0,23.5,23.5,Counter,Night Slash,,"2020-09-20 12:11","2020-09-20 12:09",5/2/2020,,,0,0,5,0,41.10%,2413,94.53%,0,0,Primeape,,0,91.94%,331,94.09%,204500,229,Primeape,,0,,,,,,,,,
569,Porygon,,137,,1212,123,1,14,15,66.7,27.0,27.0,,,,"2020-09-20 11:37","2020-09-20 11:37",9/20/2020,,,0,0,5,0,99.46%,23,99.11%,114000,118,Porygon,,0,99.78%,10,99.49%,158000,201,Porygon2,,0,,,,,,,,,
570,Porygon,,137,,1200,113,11,13,4,62.2,26.0,26.0,,,,"2020-09-20 11:37","2020-09-20 11:37",9/20/2020,,,0,0,2,0,,,,,,,,,60.51%,1618,96.24%,17000,141,Porygon-Z,,0,,,,,,,,,U
571,Nidoran♂,,32,♂,406,83,4,2,10,35.6,20.0,20.0,,,,"2020-09-19 19:42","2020-09-19 19:42",9/19/2020,,,0,0,1,0,67.81%,1319,95.42%,14000,138,Nidoking,,0,18.95%,3320,88.00%,225000,373,Nidoking,,0,63.52%,1495,93.79%,27500,25,Nidoran♂,,0,
572,Bulbasaur,,1,♂,641,85,13,11,12,80.0,21.0,21.0,,,,"2020-09-19 19:42","2020-09-19 19:42",9/19/2020,,,0,0,1,0,38.34%,2526,94.12%,111000,127,Ivysaur,,0,72.48%,1128,96.33%,148000,271,Venusaur,Normal,0,,,,,,,,,
573,Nidoran♀,,29,♀,408,95,4,12,14,66.7,20.0,20.0,,,,"2020-09-19 19:42","2020-09-19 19:42",9/19/2020,,,0,0,2,0,98.12%,78,98.40%,14000,138,Nidoqueen,,0,,,,,,,,,,,,,,,,,G
574,Turtwig,,387,♂,970,114,13,11,10,75.6,30.0,30.0,,,,"2020-09-19 19:42","2020-09-19 19:42",9/19/2020,,,0,0,1,0,,,,,,,,,19.71%,3289,94.88%,10000,133,Torterra,,0,,,,,,,,,U
575,Rhydon,,112,♂,1793,145,15,14,10,86.7,20.0,20.0,Mud-Slap,Earthquake,,"2020-09-19 19:41","2020-09-19 19:41",9/19/2020,,,0,0,0,0,,,,,,,,,48.64%,2104,95.34%,20500,119,Rhyperior,,0,,,,,,,,,
576,Darumaka,Normal,554,♂,603,94,14,14,10,84.4,15.0,15.0,,,,"2020-09-19 01:05","2020-09-19 01:05",9/17/2020,,,0,0,2,0,55.97%,1804,95.13%,7600,58,Darmanitan,Normal,0,60.39%,1623,96.39%,81900,124,Darmanitan,Normal,0,,,,,,,,,
577,Surskit,,283,♂,455,86,0,12,12,53.3,24.0,24.0,,,,"2020-09-19 01:05","2020-09-19 01:05",9/16/2020,,,0,0,2,0,88.57%,469,96.60%,7000,56,Masquerain,,0,63.32%,1503,89.83%,201000,276,Masquerain,,0,93.80%,255,96.71%,15000,12,Surskit,,0,
578,Snubbull,,209,♀,743,103,12,13,10,77.8,22.0,22.0,,,,"2020-09-19 01:05","2020-09-19 01:05",9/16/2020,,,0,0,1,0,94.85%,212,93.20%,214000,238,Snubbull,,0,94.48%,227,97.24%,214000,288,Granbull,,0,,,,,,,,,
579,Solrock,,338,,1500,135,13,15,2,66.7,23.5,23.5,Rock Throw,Solar Beam,,"2020-09-17 20:46","2020-03-27 17:50",3/27/2020,117.13kg,1.02m,0,0,5,0,63.59%,1492,95.17%,0,0,Solrock,,0,,,,,,,,,,,,,,,,,G
580,Hariyama,,297,♂,1492,183,14,5,9,62.2,19.5,19.5,Counter,Heavy Slam,,"2020-09-17 20:46","2020-05-20 21:49",5/20/2020,84.56kg,1.43m,0,0,5,0,34.31%,2691,94.15%,0,0,Hariyama,,0,,,,,,,,,,,,,,,,,G
581,Scyther,,123,♀,1480,107,10,7,6,51.1,20.5,20.5,Fury Cutter,X-Scissor,,"2020-09-17 20:45","2020-06-30 19:34",6/30/2020,,,0,0,5,0,24.71%,3084,93.83%,0,0,Scyther,,0,,,,,,,,,,,,,,,,,G
582,Xatu,,178,♂,1479,118,8,5,12,55.6,25.5,25.5,Feint Attack,Ominous Wind,,"2020-09-17 20:45","2020-05-15 11:40",5/15/2020,,,0,0,5,0,45.42%,2236,94.62%,0,0,Xatu,,0,,,,,,,,,,,,,,,,,G
583,Sudowoodo,,185,♀,1490,124,11,8,12,68.9,25.5,25.5,Counter,Stone Edge,,"2020-09-17 20:45","2020-04-06 16:07",4/6/2020,25.52kg,1.14m,0,0,5,0,58.10%,1717,95.18%,0,0,Sudowoodo,,0,,,,,,,,,,,,,,,,,G
584,Tauros,,128,♂,1487,117,10,13,14,82.2,20.5,20.5,Zen Headbutt,Horn Attack,,"2020-09-17 20:45","2020-05-30 21:57",5/30/2020,122.5kg,1.57m,0,0,5,0,70.60%,1205,95.87%,0,0,Tauros,,0,,,,,,,,,,,,,,,,,G
585,Tentacruel,,73,♂,1482,124,11,13,6,66.7,22.5,22.5,Acid,Blizzard,,"2020-09-17 20:44","2020-05-05 13:35",5/5/2020,,,0,0,5,0,38.73%,2510,94.48%,0,0,Tentacruel,,0,,,,,,,,,,,,,,,,,G
586,Alakazam,,65,♂,1482,89,4,5,9,40.0,18.5,18.5,Confusion,Shadow Ball,,"2020-09-17 20:31","2020-05-17 08:20",4/25/2020,,,0,0,5,0,74.09%,1062,96.04%,0,0,Alakazam,,0,,,,,,,,,,,,,,,,,G
587,Weedle,,13,♀,328,96,6,10,12,62.2,30.0,30.0,,,,"2020-09-16 10:22","2020-09-16 10:22",9/16/2020,,,0,0,2,0,78.97%,862,96.70%,10000,70,Beedrill,Normal,0,76.73%,954,90.52%,150000,244,Beedrill,Normal,0,70.67%,1202,80.12%,150000,182,Weedle,,0,
588,Eevee,,133,♂,789,108,12,14,10,80.0,27.0,27.0,,,,"2020-09-16 10:22","2020-09-16 10:22",9/16/2020,,,0,0,1,0,95.87%,170,93.68%,178000,206,Eevee,,0,50.94%,2010,96.07%,38000,57,Leafeon,,0,,,,,,,,,
589,Bulbasaur,,1,♂,940,102,10,8,7,55.6,35.0,35.0,,,,"2020-09-16 10:22","2020-09-16 10:22",9/16/2020,,,0,0,1,0,38.29%,2528,94.12%,24000,55,Ivysaur,,0,46.52%,2191,95.12%,50000,189,Venusaur,Normal,0,,,,,,,,,
590,Nidoran♀,,29,♀,442,92,13,12,9,75.6,20.0,20.0,,,,"2020-09-16 10:22","2020-09-16 10:22",9/16/2020,,,0,0,2,0,24.40%,3097,93.70%,8000,132,Nidoqueen,,0,92.14%,323,94.61%,225000,373,Nidoqueen,,0,40.27%,2447,91.22%,14000,13,Nidoran♀,,0,
591,Anorith,,347,♂,827,80,8,9,4,46.7,21.0,21.0,,,,"2020-09-16 10:22","2020-09-16 10:22",9/16/2020,,,0,0,0,0,45.91%,2216,85.83%,220000,244,Anorith,,0,32.89%,2749,95.53%,148000,196,Armaldo,,0,,,,,,,,,
592,Yanma,,193,♀,1041,118,7,12,7,57.8,27.0,27.0,,,,"2020-09-16 10:21","2020-09-16 02:03",9/16/2020,,,0,0,2,0,73.36%,1092,88.67%,178000,206,Yanma,,0,78.56%,879,97.03%,62000,156,Yanmega,,0,,,,,,,,,
593,Murkrow,,198,♀,778,98,1,13,15,64.4,19.0,19.0,,,,"2020-09-15 23:30","2020-09-15 23:30",9/15/2020,,,0,0,5,0,99.32%,29,98.71%,7500,106,Honchkrow,,0,98.34%,69,98.71%,201000,310,Honchkrow,,0,,,,,,,,,
594,Eevee,,133,♂,708,108,9,0,14,51.1,26.0,26.0,,,,"2020-09-15 04:50","2020-09-15 04:50",9/15/2020,,,0,0,2,0,64.37%,1460,95.36%,4000,29,Umbreon,,0,,,,,,,,,,,,,,,,,G
595,Machop,,66,♂,891,122,14,8,8,66.7,26.0,26.0,,,,"2020-09-14 09:14","2020-09-14 09:14",9/14/2020,,,0,0,2,0,30.87%,2832,94.05%,8000,33,Machoke,,0,,,,,,,,,,,,,,,,,G
596,Diglett,Normal,50,♂,552,60,4,12,12,62.2,35.0,35.0,,,,"2020-09-14 09:13","2020-09-14 09:13",9/13/2020,,,0,0,1,0,81.29%,767,94.38%,88000,168,Dugtrio,Normal,0,81.29%,767,90.23%,88000,168,Dugtrio,Normal,0,,,,,,,,,
597,Hoothoot,,163,♀,473,113,10,12,8,66.7,27.0,27.0,,,,"2020-09-14 09:13","2020-09-14 09:13",9/13/2020,,,0,0,2,0,27.30%,2978,93.58%,0,50,Noctowl,,0,,,,,,,,,,,,,,,,,G
