Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Marked for PvP use
364,Bulbasaur,,1,♂,940,102,10,8,7,55.6,35.0,35.0,,,,"2020-09-16 10:22","2020-09-16 10:22",9/16/2020,,,0,0,1,0,29.04%,2907,94.12%,24000,55,Ivysaur,,0,28.77%,2918,95.12%,50000,189,Venusaur,Normal,0,
365,Nidoran♀,,29,♀,442,92,13,12,9,75.6,20.0,20.0,,,,"2020-09-16 10:22","2020-09-16 10:22",9/16/2020,,,0,0,2,0,24.40%,3097,93.70%,8000,132,Nidoqueen,,0,30.70%,2839,94.89%,278000,373,Nidoqueen,,0,
366,Anorith,,347,♂,827,80,8,9,4,46.7,21.0,21.0,,,,"2020-09-16 10:22","2020-09-16 10:22",9/16/2020,,,0,0,0,0,41.00%,2417,93.96%,371000,244,Anorith,,0,32.65%,2759,95.53%,148000,196,Armaldo,,0,
367,Yanma,,193,♀,1041,118,7,12,7,57.8,27.0,27.0,,,,"2020-09-16 10:21","2020-09-16 02:03",9/16/2020,,,0,0,2,0,86.37%,559,95.94%,384000,206,Yanma,,0,78.56%,879,97.03%,62000,156,Yanmega,,0,
368,Murkrow,,198,♀,778,98,1,13,15,64.4,19.0,19.0,,,,"2020-09-15 23:30","2020-09-15 23:30",9/15/2020,,,0,0,5,0,99.68%,14,99.32%,306000,252,Murkrow,,0,98.29%,71,98.71%,201000,310,Honchkrow,,0,
369,Eevee,,133,♂,708,108,9,0,14,51.1,26.0,26.0,,,,"2020-09-15 04:50","2020-09-15 04:50",9/15/2020,,,0,0,2,0,64.37%,1460,95.36%,4000,29,Umbreon,,0,,,,,,,,,G
370,Machop,,66,♂,891,122,14,8,8,66.7,26.0,26.0,,,,"2020-09-14 09:14","2020-09-14 09:14",9/14/2020,,,0,0,2,0,30.87%,2832,94.05%,8000,33,Machoke,,0,,,,,,,,,G
371,Diglett,Normal,50,♂,552,60,4,12,12,62.2,35.0,35.0,,,,"2020-09-14 09:13","2020-09-14 09:13",9/13/2020,,,0,0,1,0,95.38%,190,98.13%,152000,168,Dugtrio,Normal,0,80.29%,808,90.34%,338000,168,Dugtrio,Normal,0,
372,Hoothoot,,163,♀,473,113,10,12,8,66.7,27.0,27.0,,,,"2020-09-14 09:13","2020-09-14 09:13",9/13/2020,,,0,0,2,0,27.30%,2978,93.58%,0,50,Noctowl,,0,,,,,,,,,G
373,Farfetch'd,Galarian,83,♀,926,90,15,10,11,80.0,20.0,20.0,,,,"2020-09-14 09:13","2020-09-14 09:13",9/12/2020,,,0,0,0,0,29.96%,2869,94.13%,130000,122,Farfetch'd,Galarian,0,41.66%,2390,95.53%,75000,116,Sirfetch'd,,0,
374,Cacnea,,331,♂,738,91,11,13,9,73.3,22.0,22.0,,,,"2020-09-14 09:13","2020-09-14 09:13",9/9/2020,,,0,0,0,0,56.17%,1796,95.04%,9500,59,Cacturne,,0,,,,,,,,,G
375,Eevee,,133,♂,463,88,5,9,14,62.2,17.0,17.0,,,,"2020-09-14 09:12","2020-09-14 09:12",9/8/2020,,,0,0,2,0,95.97%,166,97.70%,2200,27,Espeon,,0,,,,,,,,,G
376,Bellsprout,,69,♂,838,108,7,8,5,44.4,35.0,35.0,,,,"2020-09-14 09:12","2020-09-14 09:12",9/8/2020,,,0,0,1,0,41.03%,2416,94.23%,141000,143,Weepinbell,,0,54.38%,1869,95.61%,308000,243,Victreebel,,0,
377,Tympole,,535,♂,447,92,0,14,10,53.3,22.0,22.0,,,,"2020-09-14 09:12","2020-09-14 09:12",9/8/2020,,,0,0,2,0,89.72%,422,96.95%,0,125,Seismitoad,,0,,,,,,,,,G
378,Chikorita,,152,♀,556,85,13,12,8,73.3,22.0,22.0,,,,"2020-09-14 09:12","2020-09-14 09:12",9/8/2020,9.55kg,1.08m,0,0,2,3000,54.07%,1882,95.11%,3000,128,Meganium,,0,,,,,,,,,G
379,Natu,,177,♀,712,82,15,10,6,68.9,24.0,24.0,,,,"2020-09-08 01:00","2020-09-08 01:00",9/8/2020,,,0,0,2,0,35.09%,2659,94.14%,7000,56,Xatu,,0,84.22%,647,92.34%,451000,276,Xatu,,0,
380,Abra,,63,♂,908,73,7,5,15,60.0,26.0,26.0,,,,"2020-09-07 21:57","2020-09-07 21:57",9/7/2020,,,0,0,0,0,47.30%,2159,94.40%,8000,33,Kadabra,,0,87.01%,533,97.48%,41000,161,Alakazam,,0,
381,Lotad,,270,♀,39,28,6,13,13,71.1,3.0,3.0,,,,"2020-09-07 19:28","2020-09-07 19:28",9/7/2020,,,0,0,0,0,57.07%,1759,95.29%,64700,196,Ludicolo,,0,97.09%,120,98.32%,519200,425,Ludicolo,,0,
382,Natu,,177,♂,722,87,8,5,8,46.7,26.0,26.0,,,,"2020-09-07 17:45","2020-09-07 17:45",9/7/2020,,,0,0,2,0,50.01%,2048,94.84%,0,50,Xatu,,0,40.98%,2418,86.97%,436000,264,Xatu,,0,
383,Abra,,63,♂,878,68,6,12,9,60.0,25.0,25.0,,,,"2020-09-07 17:40","2020-09-07 17:40",9/7/2020,,,0,0,0,0,62.86%,1522,95.12%,16000,39,Kadabra,,0,74.33%,1052,96.80%,49000,167,Alakazam,,0,
384,Magnemite,,81,,739,58,5,11,0,35.6,22.0,22.0,,,,"2020-09-07 13:27","2020-09-07 13:27",9/7/2020,,,0,0,1,0,12.31%,3592,92.66%,6000,31,Magneton,,0,53.16%,1919,95.93%,434000,263,Magneton,,0,
385,Omanyte,,138,♂,1192,89,3,10,11,53.3,30.0,30.0,,,,"2020-09-07 11:03","2020-09-07 11:03",9/7/2020,,,0,0,1,0,95.56%,183,97.77%,288000,182,Omanyte,,0,88.89%,456,97.50%,103000,166,Omastar,,0,
386,Rhyhorn,,111,♂,823,112,10,8,4,48.9,19.0,19.0,,,,"2020-09-07 08:50","2020-09-07 08:50",9/7/2020,,,0,0,0,0,29.28%,2897,93.78%,210000,222,Rhyhorn,,0,19.93%,3280,94.40%,70000,87,Rhydon,,0,
387,Magneton,,82,,1687,101,7,9,15,68.9,25.0,25.0,,,,"2020-09-06 23:08","2020-09-06 23:08",5/2/2020,,,0,0,1,0,,,,,,,,,92.58%,305,97.67%,29500,126,Magnezone,,0,
388,Omanyte,,138,♂,1159,87,4,3,8,33.3,30.0,30.0,,,,"2020-09-06 22:52","2020-09-06 22:52",9/6/2020,,,0,0,1,0,,,,,,,,,60.07%,1636,96.14%,130000,202,Omastar,,0,U
389,Rhyhorn,,111,♂,1497,153,15,11,11,82.2,35.0,35.0,Mud-Slap,Bulldoze,,"2020-09-06 22:52","2020-09-06 22:52",9/6/2020,141.51kg,1.1m,0,0,1,8000,32.50%,2765,93.93%,0,0,Rhyhorn,,0,96.19%,157,94.92%,338000,118,Rhyhorn,,0,
390,Rhyhorn,,111,♀,1347,147,9,15,11,77.8,30.0,30.0,Rock Smash,Horn Attack,,"2020-09-06 22:52","2020-09-06 22:52",9/6/2020,,,0,0,1,0,65.27%,1423,95.68%,86000,94,Rhyhorn,,0,93.77%,256,93.89%,400000,182,Rhyhorn,,0,
391,Lillipup,,506,♂,503,83,12,15,11,84.4,20.0,20.0,,,,"2020-09-06 22:52","2020-09-06 22:52",9/6/2020,,,0,0,1,0,50.16%,2042,94.98%,187000,219,Herdier,,0,47.79%,2139,95.85%,109000,223,Stoutland,,0,
392,Rhyhorn,,111,♂,1182,141,9,6,14,64.4,27.0,27.0,,,,"2020-09-06 22:52","2020-09-06 22:52",9/6/2020,,,0,0,2,0,,,,,,,,,74.33%,1052,96.77%,18000,41,Rhydon,,0,U
393,Magnemite,,81,,978,74,7,8,15,66.7,27.0,27.0,,,,"2020-09-06 05:57","2020-09-06 05:57",9/6/2020,,,0,0,2,0,,,,,,,,,86.40%,558,97.22%,13500,137,Magnezone,,0,U
394,Tympole,,535,♀,473,88,15,15,11,91.1,20.0,20.0,,,,"2020-09-06 05:57","2020-09-06 05:57",9/5/2020,,,0,0,2,0,54.02%,1884,94.92%,2500,127,Seismitoad,,0,,,,,,,,,G
395,Lotad,,270,♂,357,83,13,5,11,64.4,23.0,23.0,,,,"2020-09-05 21:30","2020-09-05 21:30",9/5/2020,,,0,0,2,0,32.04%,2784,94.11%,3500,128,Ludicolo,,0,,,,,,,,,G
396,Torchic,,255,♂,897,101,9,10,8,60.0,33.0,33.0,,,,"2020-09-05 20:48","2020-09-05 20:48",9/5/2020,,,0,0,1,0,62.54%,1535,95.49%,87000,133,Combusken,,0,58.78%,1689,96.16%,28000,157,Blaziken,,0,
397,Tangela,,114,♀,1867,124,15,5,4,53.3,32.0,32.0,Infestation,Solar Beam,,"2020-09-05 20:47","2020-09-05 20:47",9/5/2020,,,0,0,1,0,,,,,,,,,54.65%,1858,90.22%,378000,162,Tangela,,0,
398,Cranidos,,408,♂,1341,119,11,15,5,68.9,27.0,27.0,Take Down,Ancient Power,,"2020-09-05 20:47","2020-09-05 20:47",9/5/2020,,,0,0,2,0,,,,,,,,,34.97%,2664,94.73%,0,50,Rampardos,,0,U
399,Roselia,,315,♂,1639,108,12,15,7,75.6,34.0,34.0,Poison Jab,Petal Blizzard,,"2020-09-05 20:47","2020-09-05 20:47",9/5/2020,,,0,0,1,0,,,,,,,,,92.92%,291,93.85%,352000,134,Roselia,,0,
400,Snover,,459,♀,644,99,7,9,4,44.4,22.0,22.0,,,,"2020-09-05 20:47","2020-09-05 20:47",9/5/2020,,,0,0,1,0,59.02%,1679,95.48%,13000,62,Abomasnow,Normal,0,,,,,,,,,G
401,Abra,,63,♂,845,69,3,1,9,28.9,26.0,26.0,,,,"2020-09-05 20:47","2020-09-05 20:47",9/5/2020,,,0,0,0,0,68.42%,1294,95.39%,26000,49,Kadabra,,0,55.65%,1817,96.06%,70000,189,Alakazam,,0,
402,Drilbur,,529,♂,957,111,5,12,6,51.1,27.0,27.0,,,,"2020-09-05 20:47","2020-09-05 20:47",9/5/2020,,,0,0,2,0,64.27%,1464,89.94%,428000,206,Drilbur,,0,61.90%,1561,96.02%,13500,62,Excadrill,,0,
403,Rhyhorn,,111,♀,1134,133,12,13,10,77.8,25.0,25.0,,,,"2020-09-05 20:46","2020-09-05 20:46",9/5/2020,,,0,0,1,0,,,,,,,,,33.16%,2738,95.06%,25000,47,Rhydon,,0,U
404,Rhyhorn,,111,♀,871,118,11,5,8,53.3,20.0,20.0,,,,"2020-09-05 20:46","2020-09-05 20:46",9/5/2020,,,0,0,1,0,,,,,,,,,30.77%,2836,94.63%,27500,150,Rhyperior,,0,U
405,Gastly,,92,♀,889,78,8,5,7,44.4,29.0,29.0,,,,"2020-09-05 20:46","2020-09-05 20:46",9/5/2020,,,0,0,0,0,37.07%,2578,94.11%,5000,29,Haunter,,0,,,,,,,,,G
406,Tangela,,114,♂,1618,120,9,8,10,60.0,27.0,27.0,Vine Whip,Solar Beam,,"2020-09-05 20:46","2020-09-05 20:45",9/5/2020,,,0,0,1,0,,,,,,,,,62.20%,1549,96.76%,38000,132,Tangrowth,,0,
407,Tangela,,114,♀,1330,106,5,9,4,40.0,23.0,23.0,Infestation,Solar Beam,,"2020-09-05 20:46","2020-09-05 20:45",9/5/2020,29.73kg,1.01m,0,0,1,3500,31.18%,2819,93.78%,18000,15,Tangela,,0,60.20%,1631,96.68%,86000,176,Tangrowth,,0,
408,Abra,,63,♂,955,76,3,0,13,35.6,29.0,29.0,,,,"2020-09-05 20:45","2020-09-05 20:45",9/5/2020,,,0,0,0,0,26.30%,3019,79.77%,410000,190,Abra,,0,63.79%,1484,96.37%,38000,159,Alakazam,,0,
409,Magnemite,,81,,741,63,3,4,8,33.3,22.0,22.0,,,,"2020-09-05 20:45","2020-09-05 20:45",9/5/2020,,,0,0,2,0,22.42%,3178,93.35%,6000,31,Magneton,,0,,,,,,,,,G
410,Cranidos,,408,♂,1106,114,6,5,8,42.2,24.0,24.0,,,,"2020-09-05 20:45","2020-09-05 20:45",9/5/2020,,,0,0,1,0,54.04%,1883,94.82%,113000,108,Cranidos,,0,18.07%,3356,93.92%,36500,82,Rampardos,,0,
411,Roselia,,315,♀,1568,112,5,15,14,75.6,32.0,32.0,Razor Leaf,Sludge Bomb,,"2020-09-05 20:45","2020-09-05 20:44",9/5/2020,,,0,0,1,0,,,,,,,,,94.14%,241,94.28%,378000,162,Roselia,,0,
412,Cyndaquil,,155,,762,96,5,12,14,68.9,30.0,30.0,,,,"2020-09-05 20:45","2020-09-05 20:45",9/5/2020,,,0,0,1,0,87.55%,511,97.22%,112000,153,Quilava,,0,86.13%,569,97.40%,41000,165,Typhlosion,,0,
413,Larvitar,,246,♀,811,108,5,12,10,60.0,31.0,31.0,,,,"2020-09-05 20:44","2020-09-05 20:44",9/5/2020,,,0,0,1,0,89.08%,448,97.44%,45000,73,Pupitar,,0,70.01%,1229,89.27%,390000,199,Pupitar,,0,
414,Omanyte,,138,♂,1147,86,11,4,11,57.8,28.0,28.0,,,,"2020-09-05 20:44","2020-09-05 20:44",9/5/2020,,,0,0,1,0,,,,,,,,,25.37%,3057,94.80%,97000,150,Omastar,,0,U
415,Rhyhorn,,111,♂,586,98,4,7,8,42.2,14.0,14.0,,,,"2020-09-05 20:44","2020-09-05 20:44",9/5/2020,,,0,0,1,0,78.80%,869,96.02%,3200,129,Rhyperior,,0,50.43%,2031,95.40%,55600,177,Rhyperior,,0,
416,Rhyhorn,,111,♀,845,118,4,9,9,48.9,20.0,20.0,,,,"2020-09-05 20:44","2020-09-05 20:44",9/5/2020,,,0,0,1,0,,,,,,,,,84.98%,616,96.93%,31000,153,Rhyperior,,0,U
417,Abra,,63,♂,619,57,3,4,6,28.9,19.0,19.0,,,,"2020-09-05 20:44","2020-09-05 20:44",9/5/2020,,,0,0,1,0,83.37%,682,96.61%,0,125,Alakazam,,0,33.24%,2735,95.25%,114000,227,Alakazam,,0,
418,Mankey,,56,♀,735,82,13,14,9,80.0,23.0,23.0,,,,"2020-09-05 20:44","2020-09-05 20:44",9/5/2020,,,0,0,2,0,65.49%,1414,95.62%,3500,53,Primeape,,0,96.68%,137,98.12%,443000,282,Primeape,,0,
419,Omanyte,,138,♂,853,74,10,15,14,86.7,20.0,20.0,,,,"2020-09-05 20:44","2020-09-05 20:44",9/5/2020,,,0,0,1,0,71.97%,1149,95.73%,225000,248,Omanyte,,0,,,,,,,,,G
420,Rhyhorn,,111,♂,1411,151,12,8,12,71.1,33.0,33.0,Rock Smash,Bulldoze,,"2020-09-05 20:44","2020-09-05 20:44",9/5/2020,,,0,0,1,0,47.35%,2157,94.70%,60000,72,Rhyhorn,,0,84.96%,617,91.60%,366000,150,Rhyhorn,,0,
421,Magnemite,,81,,784,64,9,7,10,57.8,22.0,22.0,,,,"2020-09-05 01:17","2020-09-05 01:17",9/5/2020,,,0,0,2,0,84.40%,640,96.40%,3000,28,Magneton,,0,,,,,,,,,G
422,Raichu,Alola,26,♀,952,87,12,10,15,82.2,15.0,15.0,Thunder Shock,Wild Charge,,"2020-09-05 01:04","2020-09-05 01:04",9/5/2020,23.93kg,0.78m,0,0,0,1900,78.12%,897,96.40%,41900,39,Raichu,Alola,0,97.46%,105,98.31%,481400,268,Raichu,Alola,0,
423,Magnemite,,81,,891,64,4,15,2,46.7,26.0,26.0,,,,"2020-09-05 00:52","2020-09-05 00:52",9/5/2020,6.47kg,0.31m,0,0,1,4000,,,,,,,,,87.13%,528,97.26%,31000,153,Magnezone,,0,U
424,Abra,,63,♂,548,52,2,14,6,48.9,16.0,16.0,,,,"2020-09-05 00:51","2020-09-05 00:51",9/5/2020,,,0,0,0,0,96.97%,125,98.08%,10400,135,Alakazam,,0,82.08%,735,97.20%,108600,221,Alakazam,,0,
425,Rhyhorn,,111,♂,1196,139,8,13,11,71.1,27.0,27.0,,,,"2020-09-05 00:51","2020-09-05 00:51",9/4/2020,,,0,0,2,0,,,,,,,,,74.14%,1060,96.77%,13500,37,Rhydon,,0,U
426,Magnemite,,81,,953,66,8,1,0,20.0,29.0,29.0,,,,"2020-09-04 13:30","2020-09-04 13:30",9/4/2020,,,0,0,2,0,,,,,,,,,32.31%,2773,94.93%,15000,137,Magnezone,,0,U
427,Charizard,Normal,6,♂,1989,131,10,13,11,75.6,25.0,25.0,Fire Spin,Dragon Claw,,"2020-09-04 13:29","2020-09-04 13:29",9/4/2020,73.59kg,1.59m,0,0,0,4000,,,,,,,,,67.64%,1326,96.53%,72000,64,Charizard,Normal,0,
428,Tangela,,114,♂,1914,131,10,8,13,68.9,33.0,33.0,,,,"2020-09-04 10:11","2020-09-04 10:11",9/4/2020,,,0,0,1,0,,,,,,,,,84.00%,656,93.93%,366000,150,Tangela,,0,U
429,Treecko,,252,♂,560,77,14,14,13,91.1,19.0,19.0,,,,"2020-09-04 10:11","2020-09-04 10:11",9/4/2020,,,0,0,2,0,42.39%,2360,94.30%,0,125,Sceptile,,0,,,,,,,,,G
430,Abra,,63,♂,931,69,8,4,5,37.8,28.0,28.0,,,,"2020-09-04 10:11","2020-09-04 10:11",9/4/2020,,,0,0,0,0,9.79%,3695,92.26%,0,25,Kadabra,,0,36.41%,2605,95.37%,47000,167,Alakazam,,0,
431,Barboach,,339,♂,526,96,8,7,5,44.4,26.0,26.0,,,,"2020-09-04 10:11","2020-09-03 20:46",9/3/2020,,,0,0,1,0,53.72%,1896,94.91%,12500,62,Whiscash,,0,42.17%,2369,87.49%,436000,264,Whiscash,,0,
432,Rhyhorn,,111,♂,1440,150,14,5,7,57.8,35.0,35.0,Rock Smash,Stomp,,"2020-09-04 10:11","2020-09-03 20:44",9/3/2020,,,0,0,1,0,6.13%,3845,92.09%,41000,52,Rhyhorn,,0,65.89%,1398,88.60%,338000,118,Rhyhorn,,0,
433,Charizard,Normal,6,♀,2047,133,15,13,14,93.3,25.0,25.0,Air Slash,Fire Blast,,"2020-09-04 10:11","2020-09-03 20:44",9/3/2020,92.22kg,1.88m,0,0,1,4000,,,,,,,,,60.12%,1634,96.23%,54000,46,Charizard,Normal,0,
434,Lotad,,270,♂,329,81,5,5,5,33.3,24.0,24.0,,,,"2020-09-03 20:34","2020-09-03 20:34",9/3/2020,,,0,0,2,0,67.55%,1330,95.81%,7000,131,Ludicolo,,0,,,,,,,,,G
435,Lotad,,270,♂,356,82,10,7,6,51.1,24.0,24.0,,,,"2020-09-03 20:31","2020-09-03 20:31",9/3/2020,,,0,0,2,0,32.92%,2748,94.13%,0,125,Ludicolo,,0,,,,,,,,,G
436,Roselia,,315,♀,959,84,12,10,8,66.7,19.0,19.0,,,,"2020-09-03 20:31","2020-09-03 20:31",9/3/2020,,,0,0,1,0,38.02%,2539,94.52%,75000,66,Roselia,,0,39.17%,2492,95.81%,96000,184,Roserade,,0,
437,Tangela,,114,♀,1527,113,8,9,4,46.7,26.0,26.0,,,,"2020-09-03 20:31","2020-09-03 20:31",9/3/2020,,,0,0,1,0,,,,,,,,,60.66%,1612,96.69%,58000,152,Tangrowth,,0,
438,Aerodactyl,,142,♀,1566,122,12,2,10,53.3,21.0,21.0,Bite,Rock Slide,,"2020-09-03 20:31","2020-09-03 20:31",9/3/2020,,,0,0,0,0,,,,,,,,,22.47%,3176,94.88%,164000,166,Aerodactyl,,0,
439,Omanyte,,138,♂,668,66,7,1,9,37.8,17.0,17.0,,,,"2020-09-03 20:31","2020-09-03 20:31",9/3/2020,,,0,0,1,0,70.18%,1222,95.92%,16300,64,Omastar,,0,,,,,,,,,G
440,Aerodactyl,,142,♂,1188,102,12,8,1,46.7,16.0,16.0,,,,"2020-09-03 20:31","2020-09-03 20:31",9/3/2020,,,0,0,1,0,27.23%,2981,94.13%,17600,16,Aerodactyl,,0,6.98%,3810,93.94%,186600,186,Aerodactyl,,0,
441,Abra,,63,♀,567,54,10,2,6,40.0,17.0,17.0,,,,"2020-09-03 20:30","2020-09-03 20:30",9/3/2020,,,0,0,1,0,35.58%,2639,94.26%,6600,131,Alakazam,,0,27.25%,2980,95.01%,110800,223,Alakazam,,0,
442,Tangela,,114,♂,1795,126,4,13,8,55.6,31.0,31.0,,,,"2020-09-03 20:30","2020-09-03 20:30",9/3/2020,,,0,0,2,0,,,,,,,,,95.04%,204,98.57%,12000,112,Tangrowth,,0,
443,Rhyhorn,,111,♂,1376,150,12,5,13,66.7,32.0,32.0,Mud-Slap,Bulldoze,,"2020-09-03 20:30","2020-09-03 20:30",9/3/2020,,,0,0,1,0,31.58%,2803,93.89%,81000,96,Rhyhorn,,0,76.48%,964,90.10%,378000,162,Rhyhorn,,0,
444,Torchic,,255,♂,596,84,11,12,14,82.2,20.0,20.0,,,,"2020-09-03 20:30","2020-09-03 20:30",9/3/2020,,,0,0,1,0,59.61%,1655,95.33%,145000,165,Combusken,,0,67.33%,1339,96.47%,109000,223,Blaziken,,0,
445,Torchic,,255,♂,533,80,10,4,11,55.6,19.0,19.0,,,,"2020-09-03 20:30","2020-09-03 20:30",9/3/2020,,,0,0,2,0,41.59%,2393,94.81%,2500,127,Blaziken,,0,34.43%,2686,95.29%,150000,269,Blaziken,,0,
446,Rhyhorn,,111,♂,969,122,14,5,5,53.3,22.0,22.0,,,,"2020-09-03 20:30","2020-09-03 20:30",9/3/2020,,,0,0,1,0,,,,,,,,,30.94%,2829,94.64%,16500,140,Rhyperior,,0,U
447,Tangela,,114,♂,1910,131,6,11,11,62.2,34.0,34.0,Infestation,Solar Beam,,"2020-09-03 06:58","2020-09-03 06:58",9/3/2020,,,0,0,1,0,,,,,,,,,77.29%,931,92.91%,352000,134,Tangela,,0,
448,Abra,,63,♂,987,72,8,10,10,62.2,28.0,28.0,,,,"2020-09-03 06:20","2020-09-03 06:20",9/3/2020,,,0,0,1,0,76.73%,954,88.66%,419000,198,Abra,,0,66.11%,1389,96.46%,19000,141,Alakazam,,0,
449,Aerodactyl,,142,♂,192,43,0,15,12,60.0,3.0,3.0,Steel Wing,Earth Power,,"2020-09-03 06:02","2020-09-03 06:01",9/3/2020,92.94kg,2.24m,0,0,0,400,94.75%,216,97.92%,44200,52,Aerodactyl,,0,99.58%,18,99.25%,222200,234,Aerodactyl,,0,
450,Rhyhorn,,111,♀,639,100,9,5,5,42.2,15.0,15.0,,,,"2020-09-03 06:02","2020-09-03 05:58",9/3/2020,76.29kg,0.8m,0,0,1,1900,70.87%,1194,95.54%,0,125,Rhyperior,,0,46.13%,2207,95.24%,52400,173,Rhyperior,,0,
451,Aerodactyl,,142,♀,1499,121,10,4,13,60.0,20.0,20.0,Bite,Ancient Power,,"2020-09-03 05:58","2020-09-03 05:58",9/3/2020,,,0,0,5,0,80.68%,792,96.68%,0,0,Aerodactyl,,0,,,,,,,,,G
452,Lillipup,,506,♂,473,75,15,15,2,71.1,19.0,19.0,,,,"2020-09-02 22:42","2020-08-20 16:19",8/20/2020,3.53kg,0.37m,0,0,2,2500,31.67%,2799,93.83%,0,125,Stoutland,,0,,,,,,,,,G
453,Drilbur,,529,♀,969,110,8,12,4,53.3,27.0,27.0,,,,"2020-09-02 22:42","2020-08-20 16:19",8/20/2020,5.85kg,0.29m,0,0,2,4500,,,,,,,,,75.34%,1011,96.57%,13500,62,Excadrill,,0,U
454,Roggenrola,,524,♂,796,103,4,14,6,53.3,26.0,26.0,,,,"2020-09-02 22:42","2020-08-20 16:19",8/20/2020,13.86kg,0.38m,0,0,1,4000,77.92%,905,96.26%,17000,66,Boldore,,0,90.06%,408,97.57%,26000,274,Gigalith,,0,
455,Scraggy,,559,♂,572,77,15,10,12,82.2,15.0,15.0,,,,"2020-09-02 22:42","2020-08-22 00:30",8/21/2020,8.55kg,0.52m,0,0,0,1900,94.85%,212,96.96%,481400,268,Scraggy,,0,88.52%,471,96.83%,452400,318,Scrafty,,0,
456,Roggenrola,,524,♀,906,110,14,0,7,46.7,29.0,29.0,,,,"2020-09-02 22:42","2020-08-22 00:30",8/21/2020,17.09kg,0.41m,0,0,1,5000,38.24%,2530,82.82%,410000,190,Roggenrola,,0,36.34%,2608,86.01%,410000,240,Boldore,,0,
457,Bagon,,371,♀,470,71,10,14,11,77.8,15.0,15.0,,,,"2020-09-02 22:42","2020-08-22 00:30",8/21/2020,48.41kg,0.65m,0,0,1,1900,39.68%,2471,94.23%,64400,83,Shelgon,,0,92.97%,289,97.93%,45400,167,Salamence,,0,
458,Lapras,,131,♀,540,104,7,5,1,28.9,8.0,8.0,Frost Breath,Frustration,,"2020-09-02 22:41","2020-08-22 00:31",8/21/2020,130.91kg,1.72m,0,1,0,961,18.97%,3319,93.66%,55931,76,Lapras,,1,32.48%,2766,95.05%,207500,215,Lapras,,2,
459,Tauros,,128,♂,2145,143,7,12,15,75.6,30.0,30.0,Tackle,Earthquake,,"2020-09-02 22:41","2020-08-22 00:31",8/21/2020,102.88kg,1.64m,0,0,0,5000,,,,,,,,,80.05%,818,97.46%,140000,167,Tauros,,0,
460,Paras,,46,♀,690,81,6,4,4,31.1,28.0,28.0,,,,"2020-09-02 22:41","2020-08-22 00:31",8/21/2020,6.15kg,0.32m,0,0,1,4500,39.88%,2463,94.57%,60000,106,Parasect,,0,14.82%,3489,82.90%,419000,248,Parasect,,0,
461,Eevee,,133,♂,873,115,15,5,12,71.1,30.0,30.0,,,,"2020-09-02 22:41","2020-08-22 00:31",8/22/2020,2.64kg,0.21m,0,0,1,5000,86.62%,549,90.20%,400000,182,Eevee,,0,24.62%,3088,95.05%,10000,33,Leafeon,,0,
462,Machop,,66,♂,247,64,2,11,0,28.9,8.0,8.0,,,,"2020-09-02 22:41","2020-08-22 12:43",8/22/2020,16.92kg,0.73m,0,1,4,961,85.67%,588,96.90%,29550,51,Machoke,,2,82.17%,731,97.17%,62400,173,Machamp,,2,
463,Machop,,66,♀,257,69,8,4,13,55.6,8.0,8.0,,,,"2020-09-02 22:41","2020-08-23 02:16",8/23/2020,20.7kg,0.8m,0,1,4,961,30.09%,2864,94.00%,17400,39,Machoke,,2,71.62%,1163,96.66%,42600,153,Machamp,,2,
464,Kingler,,99,♀,1576,94,11,15,12,84.4,20.0,20.0,Bubble,Water Pulse,,"2020-09-02 22:41","2020-08-23 23:26",8/23/2020,75.26kg,1.39m,0,0,1,2500,,,,,,,,,63.76%,1485,96.50%,109000,98,Kingler,,0,
465,Donphan,,232,♀,2102,145,14,11,11,80.0,25.0,25.0,Mud-Slap,Heavy Slam,,"2020-09-02 22:40","2020-08-23 23:26",8/23/2020,170.36kg,1.24m,0,0,1,4000,,,,,,,,,28.23%,2940,95.14%,39000,34,Donphan,,0,
466,Deino,,633,♂,431,80,10,12,15,82.2,15.0,15.0,,,,"2020-09-02 22:40","2020-08-23 23:26",8/23/2020,19.43kg,0.88m,0,0,1,1900,61.86%,1563,95.56%,91400,107,Zweilous,,0,68.57%,1288,96.41%,48900,170,Hydreigon,,0,
467,Eevee,,133,♂,444,83,2,1,2,11.1,18.0,18.0,,,,"2020-09-02 22:40","2020-08-23 23:27",8/23/2020,6.22kg,0.28m,0,0,2,2200,86.15%,568,96.65%,4400,29,Glaceon,,0,66.28%,1382,96.57%,139400,155,Sylveon,,0,
468,Deino,,633,♂,431,78,12,12,10,75.6,15.0,15.0,,,,"2020-09-02 22:40","2020-08-23 23:27",8/23/2020,28.74kg,1.05m,0,0,1,1900,29.65%,2882,93.89%,91400,107,Zweilous,,0,36.09%,2618,95.18%,48900,170,Hydreigon,,0,
