r,c href,c src,l,l href,c,c 2,c 3,c 4,c 5,c 6,
155,https://bulbapedia.bulbagarden.net/wiki/Cyndaquil_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/6/6c/GO155.png/48px-GO155.png,Cyndaquil,https://bulbapedia.bulbagarden.net/wiki/Cyndaquil_(Pok%C3%A9mon),118,116,93,1272984,980,1108,
156,https://bulbapedia.bulbagarden.net/wiki/Quilava_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/3/33/GO156.png/48px-GO156.png,Quilava,https://bulbapedia.bulbagarden.net/wiki/Quilava_(Pok%C3%A9mon),151,158,126,3006108,1653,1868,
157,https://bulbapedia.bulbagarden.net/wiki/Typhlosion_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/f/f6/GO157.png/48px-GO157.png,Typhlosion,https://bulbapedia.bulbagarden.net/wiki/Typhlosion_(Pok%C3%A9mon),186,223,173,7175694,2889,3266,
158,https://bulbapedia.bulbagarden.net/wiki/Totodile_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/6/65/GO158.png/48px-GO158.png,Totodile,https://bulbapedia.bulbagarden.net/wiki/Totodile_(Pok%C3%A9mon),137,117,109,1747161,1131,1279,
159,https://bulbapedia.bulbagarden.net/wiki/Croconaw_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/c/c7/GO159.png/48px-GO159.png,Croconaw,https://bulbapedia.bulbagarden.net/wiki/Croconaw_(Pok%C3%A9mon),163,150,142,3471900,1722,1947,
160,https://bulbapedia.bulbagarden.net/wiki/Feraligatr_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/d/d8/GO160.png/48px-GO160.png,Feraligatr,https://bulbapedia.bulbagarden.net/wiki/Feraligatr_(Pok%C3%A9mon),198,205,188,7630920,2857,3230,
161,https://bulbapedia.bulbagarden.net/wiki/Sentret_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/a/aa/GO161.png/48px-GO161.png,Sentret,https://bulbapedia.bulbagarden.net/wiki/Sentret_(Pok%C3%A9mon),111,79,73,640137,618,698,
162,https://bulbapedia.bulbagarden.net/wiki/Furret_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/d/d0/GO162.png/48px-GO162.png,Furret,https://bulbapedia.bulbagarden.net/wiki/Furret_(Pok%C3%A9mon),198,148,125,3663000,1758,1987,
163,https://bulbapedia.bulbagarden.net/wiki/Hoothoot_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/e/ea/GO163.png/48px-GO163.png,Hoothoot,https://bulbapedia.bulbagarden.net/wiki/Hoothoot_(Pok%C3%A9mon),155,67,88,913880,677,766,
164,https://bulbapedia.bulbagarden.net/wiki/Noctowl_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/7/76/GO164.png/48px-GO164.png,Noctowl,https://bulbapedia.bulbagarden.net/wiki/Noctowl_(Pok%C3%A9mon),225,145,156,5089500,2024,2288,
165,https://bulbapedia.bulbagarden.net/wiki/Ledyba_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/a/a6/GO165.png/48px-GO165.png,Ledyba,https://bulbapedia.bulbagarden.net/wiki/Ledyba_(Pok%C3%A9mon),120,72,118,1019520,728,823,
166,https://bulbapedia.bulbagarden.net/wiki/Ledian_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/6/69/GO166.png/48px-GO166.png,Ledian,https://bulbapedia.bulbagarden.net/wiki/Ledian_(Pok%C3%A9mon),146,107,179,2796338,1346,1522,
167,https://bulbapedia.bulbagarden.net/wiki/Spinarak_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/4/48/GO167.png/48px-GO167.png,Spinarak,https://bulbapedia.bulbagarden.net/wiki/Spinarak_(Pok%C3%A9mon),120,105,73,919800,816,923,
168,https://bulbapedia.bulbagarden.net/wiki/Ariados_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/4/40/GO168.png/48px-GO168.png,Ariados,https://bulbapedia.bulbagarden.net/wiki/Ariados_(Pok%C3%A9mon),172,161,124,3433808,1772,2003,
169,https://bulbapedia.bulbagarden.net/wiki/Crobat_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/5/58/GO169.png/48px-GO169.png,Crobat,https://bulbapedia.bulbagarden.net/wiki/Crobat_(Pok%C3%A9mon),198,194,178,6837336,2646,2992,
170,https://bulbapedia.bulbagarden.net/wiki/Chinchou_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/8/86/GO170.png/48px-GO170.png,Chinchou,https://bulbapedia.bulbagarden.net/wiki/Chinchou_(Pok%C3%A9mon),181,106,97,1861042,1119,1265,
171,https://bulbapedia.bulbagarden.net/wiki/Lanturn_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/0/0d/GO171.png/48px-GO171.png,Lanturn,https://bulbapedia.bulbagarden.net/wiki/Lanturn_(Pok%C3%A9mon),268,146,137,5360536,2085,2357,
172,https://bulbapedia.bulbagarden.net/wiki/Pichu_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/2/20/GO172.png/48px-GO172.png,Pichu,https://bulbapedia.bulbagarden.net/wiki/Pichu_(Pok%C3%A9mon),85,77,53,346885,473,535,
173,https://bulbapedia.bulbagarden.net/wiki/Cleffa_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/1/1e/GO173.png/48px-GO173.png,Cleffa,https://bulbapedia.bulbagarden.net/wiki/Cleffa_(Pok%C3%A9mon),137,75,79,811725,671,759,
174,https://bulbapedia.bulbagarden.net/wiki/Igglybuff_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/3/31/GO174.png/48px-GO174.png,Igglybuff,https://bulbapedia.bulbagarden.net/wiki/Igglybuff_(Pok%C3%A9mon),207,69,32,457056,535,605,
175,https://bulbapedia.bulbagarden.net/wiki/Togepi_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/a/a4/GO175.png/48px-GO175.png,Togepi,https://bulbapedia.bulbagarden.net/wiki/Togepi_(Pok%C3%A9mon),111,67,116,862692,657,743,
176,https://bulbapedia.bulbagarden.net/wiki/Togetic_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/4/4f/GO176.png/48px-GO176.png,Togetic,https://bulbapedia.bulbagarden.net/wiki/Togetic_(Pok%C3%A9mon),146,139,181,3673214,1708,1931,
177,https://bulbapedia.bulbagarden.net/wiki/Natu_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/8/89/GO177.png/48px-GO177.png,Natu,https://bulbapedia.bulbagarden.net/wiki/Natu_(Pok%C3%A9mon),120,134,89,1431120,1102,1246,
178,https://bulbapedia.bulbagarden.net/wiki/Xatu_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/3/3a/GO178.png/48px-GO178.png,Xatu,https://bulbapedia.bulbagarden.net/wiki/Xatu_(Pok%C3%A9mon),163,192,146,4569216,2188,2474,
179,https://bulbapedia.bulbagarden.net/wiki/Mareep_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/4/4f/GO179.png/48px-GO179.png,Mareep,https://bulbapedia.bulbagarden.net/wiki/Mareep_(Pok%C3%A9mon),146,114,79,1314876,991,1120,
180,https://bulbapedia.bulbagarden.net/wiki/Flaaffy_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/d/dc/GO180.png/48px-GO180.png,Flaaffy,https://bulbapedia.bulbagarden.net/wiki/Flaaffy_(Pok%C3%A9mon),172,145,109,2718460,1521,1720,
181,https://bulbapedia.bulbagarden.net/wiki/Ampharos_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/f/f9/GO181.png/48px-GO181.png,Ampharos,https://bulbapedia.bulbagarden.net/wiki/Ampharos_(Pok%C3%A9mon),207,211,169,7381413,2852,3225,
181M,https://bulbapedia.bulbagarden.net/wiki/Ampharos_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/b/b1/GO181M.png/48px-GO181M.png,Ampharos,https://bulbapedia.bulbagarden.net/wiki/Ampharos_(Pok%C3%A9mon),207,294,203,12354174,4245,4799,
182,https://bulbapedia.bulbagarden.net/wiki/Bellossom_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/7/70/GO182.png/48px-GO182.png,Bellossom,https://bulbapedia.bulbagarden.net/wiki/Bellossom_(Pok%C3%A9mon),181,169,186,5689554,2281,2578,
183,https://bulbapedia.bulbagarden.net/wiki/Marill_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/7/77/GO183.png/48px-GO183.png,Marill,https://bulbapedia.bulbagarden.net/wiki/Marill_(Pok%C3%A9mon),172,37,93,591852,461,521,
184,https://bulbapedia.bulbagarden.net/wiki/Azumarill_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/7/7a/GO184.png/48px-GO184.png,Azumarill,https://bulbapedia.bulbagarden.net/wiki/Azumarill_(Pok%C3%A9mon),225,112,152,3830400,1588,1795,
185,https://bulbapedia.bulbagarden.net/wiki/Sudowoodo_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/c/c4/GO185.png/48px-GO185.png,Sudowoodo,https://bulbapedia.bulbagarden.net/wiki/Sudowoodo_(Pok%C3%A9mon),172,167,176,5055424,2148,2428,
186,https://bulbapedia.bulbagarden.net/wiki/Politoed_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/1/17/GO186.png/48px-GO186.png,Politoed,https://bulbapedia.bulbagarden.net/wiki/Politoed_(Pok%C3%A9mon),207,174,179,6447222,2449,2769,
187,https://bulbapedia.bulbagarden.net/wiki/Hoppip_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/0/0d/GO187.png/48px-GO187.png,Hoppip,https://bulbapedia.bulbagarden.net/wiki/Hoppip_(Pok%C3%A9mon),111,67,94,699078,600,678,
188,https://bulbapedia.bulbagarden.net/wiki/Skiploom_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/a/a2/GO188.png/48px-GO188.png,Skiploom,https://bulbapedia.bulbagarden.net/wiki/Skiploom_(Pok%C3%A9mon),146,91,120,1594320,976,1103,
189,https://bulbapedia.bulbagarden.net/wiki/Jumpluff_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/2/2f/GO189.png/48px-GO189.png,Jumpluff,https://bulbapedia.bulbagarden.net/wiki/Jumpluff_(Pok%C3%A9mon),181,118,183,3908514,1636,1850,
190,https://bulbapedia.bulbagarden.net/wiki/Aipom_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/3/39/GO190.png/48px-GO190.png,Aipom,https://bulbapedia.bulbagarden.net/wiki/Aipom_(Pok%C3%A9mon),146,136,112,2223872,1348,1524,
191,https://bulbapedia.bulbagarden.net/wiki/Sunkern_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/4/47/GO191.png/48px-GO191.png,Sunkern,https://bulbapedia.bulbagarden.net/wiki/Sunkern_(Pok%C3%A9mon),102,55,55,308550,395,447,
192,https://bulbapedia.bulbagarden.net/wiki/Sunflora_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/f/f2/GO192.png/48px-GO192.png,Sunflora,https://bulbapedia.bulbagarden.net/wiki/Sunflora_(Pok%C3%A9mon),181,185,135,4520475,2141,2421,
193,https://bulbapedia.bulbagarden.net/wiki/Yanma_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/6/68/GO193.png/48px-GO193.png,Yanma,https://bulbapedia.bulbagarden.net/wiki/Yanma_(Pok%C3%A9mon),163,154,94,2359588,1470,1662,
194,https://bulbapedia.bulbagarden.net/wiki/Wooper_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/7/71/GO194.png/48px-GO194.png,Wooper,https://bulbapedia.bulbagarden.net/wiki/Wooper_(Pok%C3%A9mon),146,75,66,722700,641,725,
195,https://bulbapedia.bulbagarden.net/wiki/Quagsire_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/c/cf/GO195.png/48px-GO195.png,Quagsire,https://bulbapedia.bulbagarden.net/wiki/Quagsire_(Pok%C3%A9mon),216,152,143,4694976,1992,2252,
196,https://bulbapedia.bulbagarden.net/wiki/Espeon_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/f/f9/GO196.png/48px-GO196.png,Espeon,https://bulbapedia.bulbagarden.net/wiki/Espeon_(Pok%C3%A9mon),163,261,175,7445025,3170,3583,
197,https://bulbapedia.bulbagarden.net/wiki/Umbreon_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/0/0e/GO197.png/48px-GO197.png,Umbreon,https://bulbapedia.bulbagarden.net/wiki/Umbreon_(Pok%C3%A9mon),216,126,240,6531840,2137,2416,
198,https://bulbapedia.bulbagarden.net/wiki/Murkrow_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/9/9c/GO198.png/48px-GO198.png,Murkrow,https://bulbapedia.bulbagarden.net/wiki/Murkrow_(Pok%C3%A9mon),155,175,87,2359875,1562,1766,
199,https://bulbapedia.bulbagarden.net/wiki/Slowking_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/9/96/GO199.png/48px-GO199.png,Slowking,https://bulbapedia.bulbagarden.net/wiki/Slowking_(Pok%C3%A9mon),216,177,180,6881760,2545,2877,
200,https://bulbapedia.bulbagarden.net/wiki/Misdreavus_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/e/e8/GO200.png/48px-GO200.png,Misdreavus,https://bulbapedia.bulbagarden.net/wiki/Misdreavus_(Pok%C3%A9mon),155,167,154,3986290,1926,2178,
201,https://bulbapedia.bulbagarden.net/wiki/Unown_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/5/51/GO201.png/48px-GO201.png,Unown,https://bulbapedia.bulbagarden.net/wiki/Unown_(Pok%C3%A9mon),134,136,91,1658384,1185,1339,
202,https://bulbapedia.bulbagarden.net/wiki/Wobbuffet_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/0/01/GO202.png/48px-GO202.png,Wobbuffet,https://bulbapedia.bulbagarden.net/wiki/Wobbuffet_(Pok%C3%A9mon),382,60,106,2429520,1026,1160,
203,https://bulbapedia.bulbagarden.net/wiki/Girafarig_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/6/68/GO203.png/48px-GO203.png,Girafarig,https://bulbapedia.bulbagarden.net/wiki/Girafarig_(Pok%C3%A9mon),172,182,133,4163432,2046,2314,
204,https://bulbapedia.bulbagarden.net/wiki/Pineco_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/9/9c/GO204.png/48px-GO204.png,Pineco,https://bulbapedia.bulbagarden.net/wiki/Pineco_(Pok%C3%A9mon),137,108,122,1805112,1108,1253,
205,https://bulbapedia.bulbagarden.net/wiki/Forretress_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/f/fd/GO205.png/48px-GO205.png,Forretress,https://bulbapedia.bulbagarden.net/wiki/Forretress_(Pok%C3%A9mon),181,161,205,5973905,2282,2580,
206,https://bulbapedia.bulbagarden.net/wiki/Dunsparce_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/7/79/GO206.png/48px-GO206.png,Dunsparce,https://bulbapedia.bulbagarden.net/wiki/Dunsparce_(Pok%C3%A9mon),225,131,128,3772800,1689,1909,
207,https://bulbapedia.bulbagarden.net/wiki/Gligar_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/6/63/GO207.png/48px-GO207.png,Gligar,https://bulbapedia.bulbagarden.net/wiki/Gligar_(Pok%C3%A9mon),163,143,184,4288856,1857,2099,
208,https://bulbapedia.bulbagarden.net/wiki/Steelix_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/b/bc/GO208.png/48px-GO208.png,Steelix,https://bulbapedia.bulbagarden.net/wiki/Steelix_(Pok%C3%A9mon),181,148,272,7286336,2414,2729,
209,https://bulbapedia.bulbagarden.net/wiki/Snubbull_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/a/a6/GO209.png/48px-GO209.png,Snubbull,https://bulbapedia.bulbagarden.net/wiki/Snubbull_(Pok%C3%A9mon),155,137,85,1804975,1237,1399,
210,https://bulbapedia.bulbagarden.net/wiki/Granbull_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/4/42/GO210.png/48px-GO210.png,Granbull,https://bulbapedia.bulbagarden.net/wiki/Granbull_(Pok%C3%A9mon),207,212,131,5748804,2552,2885,
211,https://bulbapedia.bulbagarden.net/wiki/Qwilfish_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/0/08/GO211.png/48px-GO211.png,Qwilfish,https://bulbapedia.bulbagarden.net/wiki/Qwilfish_(Pok%C3%A9mon),163,184,138,4138896,2051,2318,
212,https://bulbapedia.bulbagarden.net/wiki/Scizor_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/3/34/GO212.png/48px-GO212.png,Scizor,https://bulbapedia.bulbagarden.net/wiki/Scizor_(Pok%C3%A9mon),172,236,181,7347152,3001,3393,
213,https://bulbapedia.bulbagarden.net/wiki/Shuckle_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/7/77/GO213.png/48px-GO213.png,Shuckle,https://bulbapedia.bulbagarden.net/wiki/Shuckle_(Pok%C3%A9mon),85,17,396,572220,405,458,
214,https://bulbapedia.bulbagarden.net/wiki/Heracross_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/e/e3/GO214.png/48px-GO214.png,Heracross,https://bulbapedia.bulbagarden.net/wiki/Heracross_(Pok%C3%A9mon),190,234,179,7958340,3101,3506,
215,https://bulbapedia.bulbagarden.net/wiki/Sneasel_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/6/6d/GO215.png/48px-GO215.png,Sneasel,https://bulbapedia.bulbagarden.net/wiki/Sneasel_(Pok%C3%A9mon),146,189,146,4028724,2051,2319,
216,https://bulbapedia.bulbagarden.net/wiki/Teddiursa_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/1/1d/GO216.png/48px-GO216.png,Teddiursa,https://bulbapedia.bulbagarden.net/wiki/Teddiursa_(Pok%C3%A9mon),155,142,93,2046930,1328,1502,
217,https://bulbapedia.bulbagarden.net/wiki/Ursaring_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/1/17/GO217.png/48px-GO217.png,Ursaring,https://bulbapedia.bulbagarden.net/wiki/Ursaring_(Pok%C3%A9mon),207,236,144,7034688,2945,3329,
218,https://bulbapedia.bulbagarden.net/wiki/Slugma_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/7/7c/GO218.png/48px-GO218.png,Slugma,https://bulbapedia.bulbagarden.net/wiki/Slugma_(Pok%C3%A9mon),120,118,71,1005360,895,1011,
219,https://bulbapedia.bulbagarden.net/wiki/Magcargo_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/9/98/GO219.png/48px-GO219.png,Magcargo,https://bulbapedia.bulbagarden.net/wiki/Magcargo_(Pok%C3%A9mon),137,139,191,3637213,1702,1924,
220,https://bulbapedia.bulbagarden.net/wiki/Swinub_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/9/95/GO220.png/48px-GO220.png,Swinub,https://bulbapedia.bulbagarden.net/wiki/Swinub_(Pok%C3%A9mon),137,90,69,850770,741,837,
221,https://bulbapedia.bulbagarden.net/wiki/Piloswine_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/c/c6/GO221.png/48px-GO221.png,Piloswine,https://bulbapedia.bulbagarden.net/wiki/Piloswine_(Pok%C3%A9mon),225,181,138,5620050,2345,2652,
222,https://bulbapedia.bulbagarden.net/wiki/Corsola_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/3/33/GO222.png/48px-GO222.png,Corsola,https://bulbapedia.bulbagarden.net/wiki/Corsola_(Pok%C3%A9mon),146,118,156,2687568,1378,1558,
223,https://bulbapedia.bulbagarden.net/wiki/Remoraid_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/5/50/GO223.png/48px-GO223.png,Remoraid,https://bulbapedia.bulbagarden.net/wiki/Remoraid_(Pok%C3%A9mon),111,127,69,972693,912,1031,
224,https://bulbapedia.bulbagarden.net/wiki/Octillery_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/0/0a/GO224.png/48px-GO224.png,Octillery,https://bulbapedia.bulbagarden.net/wiki/Octillery_(Pok%C3%A9mon),181,197,141,5027637,2315,2617,
225,https://bulbapedia.bulbagarden.net/wiki/Delibird_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/4/4a/GO225.png/48px-GO225.png,Delibird,https://bulbapedia.bulbagarden.net/wiki/Delibird_(Pok%C3%A9mon),128,128,90,1474560,1094,1237,
226,https://bulbapedia.bulbagarden.net/wiki/Mantine_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/8/81/GO226.png/48px-GO226.png,Mantine,https://bulbapedia.bulbagarden.net/wiki/Mantine_(Pok%C3%A9mon),163,148,226,5452024,2108,2383,
227,https://bulbapedia.bulbagarden.net/wiki/Skarmory_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/4/4f/GO227.png/48px-GO227.png,Skarmory,https://bulbapedia.bulbagarden.net/wiki/Skarmory_(Pok%C3%A9mon),163,148,226,5452024,2108,2383,
228,https://bulbapedia.bulbagarden.net/wiki/Houndour_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/4/46/GO228.png/48px-GO228.png,Houndour,https://bulbapedia.bulbagarden.net/wiki/Houndour_(Pok%C3%A9mon),128,152,83,1614848,1234,1395,
229,https://bulbapedia.bulbagarden.net/wiki/Houndoom_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/5/5f/GO229.png/48px-GO229.png,Houndoom,https://bulbapedia.bulbagarden.net/wiki/Houndoom_(Pok%C3%A9mon),181,224,144,5838336,2635,2979,
229M,https://bulbapedia.bulbagarden.net/wiki/Houndoom_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/9/98/GO229M.png/48px-GO229M.png,Houndoom,https://bulbapedia.bulbagarden.net/wiki/Houndoom_(Pok%C3%A9mon),181,289,194,10147946,3842,4344,
230,https://bulbapedia.bulbagarden.net/wiki/Kingdra_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/f/fe/GO230.png/48px-GO230.png,Kingdra,https://bulbapedia.bulbagarden.net/wiki/Kingdra_(Pok%C3%A9mon),181,194,194,6812116,2641,2986,
231,https://bulbapedia.bulbagarden.net/wiki/Phanpy_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/b/b5/GO231.png/48px-GO231.png,Phanpy,https://bulbapedia.bulbagarden.net/wiki/Phanpy_(Pok%C3%A9mon),207,107,98,2170602,1206,1364,
232,https://bulbapedia.bulbagarden.net/wiki/Donphan_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/6/6f/GO232.png/48px-GO232.png,Donphan,https://bulbapedia.bulbagarden.net/wiki/Donphan_(Pok%C3%A9mon),207,214,185,8195130,3013,3407,
233,https://bulbapedia.bulbagarden.net/wiki/Porygon2_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/6/69/GO233.png/48px-GO233.png,Porygon2,https://bulbapedia.bulbagarden.net/wiki/Porygon2_(Pok%C3%A9mon),198,198,180,7056720,2711,3065,
234,https://bulbapedia.bulbagarden.net/wiki/Stantler_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/6/6b/GO234.png/48px-GO234.png,Stantler,https://bulbapedia.bulbagarden.net/wiki/Stantler_(Pok%C3%A9mon),177,192,131,4451904,2164,2447,
235,https://bulbapedia.bulbagarden.net/wiki/Smeargle_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/7/71/GO235.png/48px-GO235.png,Smeargle,https://bulbapedia.bulbagarden.net/wiki/Smeargle_(Pok%C3%A9mon),146,40,83,484720,431,487,
236,https://bulbapedia.bulbagarden.net/wiki/Tyrogue_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/7/78/GO236.png/48px-GO236.png,Tyrogue,https://bulbapedia.bulbagarden.net/wiki/Tyrogue_(Pok%C3%A9mon),111,64,64,454656,492,556,
237,https://bulbapedia.bulbagarden.net/wiki/Hitmontop_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/f/fb/GO237.png/48px-GO237.png,Hitmontop,https://bulbapedia.bulbagarden.net/wiki/Hitmontop_(Pok%C3%A9mon),137,173,207,4906107,2156,2438,
